"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Nitrite as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrate as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Orthophosphate, reactive as P_mg/l","pH_phunits","Oxygen, Dissolved, % Saturation_%","Phosphorus, Total as P_mg/l","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"17",351,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34292,1,"SU",94730,97920,"SU9473097920","GB106039029830",98,2.8,7.78,1,4,25,4,21,15,60,209,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",69,FALSE,2,4179,"MISBOURNE","SU9473097920",784746,1,"",2018-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781657,"2018-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,95,5.59,20,115.2,5.76,13,23,1.77,3,3,3,5.31,19,101,5.32,12.26,16.55,74.08,6.78,11.4,59.47,16,122,7.63,20,155,7.75,22,41,53.66,23,40,57.5,20,112.8,5.64,"No",2018,9,"7D79B831-47FD-470E-A5B2-1EADF07F3307","TH-PCNR0422",8.55,20.15,0.0076,0.000925,1.82,0.0315,1.83,0.01,7.895,94.5,NA,3.3,NA,"7D79B831-47FD-470E-A5B2-1EADF07F3307",133,956,0,94,55,4,361,0,54,157,28,1815,8,416
"18",351,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34292,1,"SU",94730,97920,"SU9473097920","GB106039029830",98,2.8,7.78,1,4,25,4,21,15,60,209,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",69,FALSE,2,4182,"MISBOURNE","SU9473097920",791226,1,"",2018-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",784604,"2018-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,107,5.63,22,130.1,5.91,15,24,1.6,5,5,5,8,19,94,4.95,11.64,17.65,65.95,7.28,11.65,62.49,18,136,7.56,22,169,7.68,23,46,50,23,41,56.1,22,126.7,5.76,"No",2018,10,"7D79B831-47FD-470E-A5B2-1EADF07F3307","TH-PCNR0422",8.55,20.15,0.0076,0.000925,1.82,0.0315,1.83,0.01,7.895,94.5,NA,3.3,NA,"7D79B831-47FD-470E-A5B2-1EADF07F3307",139,493,0,51,48,17,263,0,29,135,31,1175,12,311
"19",358,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2022-10-13",53,FALSE,1,4407,"BULBOURNE","TL0265406341",782819,1,"",2018-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781486,"2018-09-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,104,5.47,22,116,5.27,11,13,1.18,1,5,5,5.91,18,91,5.06,8.76,12.2,71.8,5.52,8.41,65.64,18,130,7.22,20,150,7.5,21,40,52.5,20,35,57.14,22,120.9,5.5,"No",2018,9,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",NA,NA,NA,NA,NA,NA,NA,NA,7.94,NA,NA,NA,NA,"D663FC0F-45DD-4985-9A6B-41B54349080A",150,601,0,16,155,1,4,0,154,170,31,1253,13,159
"20",363,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34310,1,"TQ",2648,98966,"TQ0264898966","GB106039029870",69,2.2,9.37,2,11,25,1,65,24,10,251,NA,NA,NA,"2002-01-01","1982-09-06","2022-09-06",74,FALSE,1,4541,"CHESS","TQ0264898966",784508,1,"",2018-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781470,"2018-09-24","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,169,5.63,34,191.4,5.63,28,53,1.89,5,7,7,13.25,29,145,5,21.01,26.77,78.48,11.29,16.16,69.86,29,214,7.38,37,288,7.78,43,72,59.72,35,61,57.38,34,189.8,5.58,"No",2018,9,"4D3568F7-84B5-47B7-9891-34A78972E178","TH-PCNR0145",10.23,17.8666666666667,0.0338666666666667,0.00106333333333333,5.63,0.0356666666666667,5.66,0.230666666666667,7.96666666666667,108.2,NA,5.55,NA,"4D3568F7-84B5-47B7-9891-34A78972E178",24,2081,0,54,100,10,382,0,166,183,50,3001,19,482
"21",374,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2022-04-06",55,FALSE,1,4753,"WANDLE (CARSHALTON ARM)","TQ2819565255",785672,1,"",2018-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",774905,"2018-11-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,123,4.92,27,133.9,4.96,26,40,1.54,5,5,5,7.69,20,101,5.05,16.14,21.16,76.28,7.54,10.48,71.95,24,168,7,30,217,7.23,32,65,49.23,28,51,54.9,27,138.1,5.11,"No",2018,10,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",8.68,13.8,0.0269,0.00071,5.47,0.057,5.5,0.046,7.71,84.1,NA,4.93,NA,"529480E3-2130-43C7-A5CD-B00A4CE31C06",33,444,0,3,112,0,65,0,104,305,44,1069,12,177
"22",381,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2021-10-14",62,FALSE,1,4829,"LEE (THAMES)","TL2983509755",785587,1,"",2018-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781496,"2018-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,155,5.96,28,161.5,5.77,26,43,1.65,5,7,7,11.58,26,139,5.35,17.02,25.96,65.56,13.53,19.6,69.03,26,194,7.46,34,254,7.47,38,83,45.78,34,63,53.97,28,163.9,5.85,"No",2018,10,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",8.08,18.05,0.0413,0.00072,15.95,0.03,15.95,0.267,7.82,85.55,0.3025,9.535,NA,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",35,73,0,313,319,2,148,0,35,1593,47,2518,20,467
"23",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,1,4886,"MIMRAM","TL2788613403",790274,1,"",2018-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",784602,"2019-02-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",33,189,5.73,35,201.6,5.76,37,63,1.7,5,7,7,11.92,29,142,4.9,25.4,33.36,76.14,11.8,17.66,66.82,32,232,7.25,44,338,7.68,53,90,58.89,35,66,53.03,35,198.7,5.68,"No",2018,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",9.59,15.9,0.0153,0.00052,5.29,0.03,5.31,0.054,7.79,97.2,NA,3,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",354,1850,75,15,166,2,428,1,77,66,56,3039,22,595
"24",386,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34347,1,"TL",35849,17446,"TL3584917446","GB106038033360",49,2,28.33,2,8,15,23,55,11,11,272,NA,NA,NA,"2012-10-04","1979-09-10","2022-05-11",62,FALSE,1,4984,"RIB","TL3584917446",785596,1,"",2018-10-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781523,"2018-10-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,111,5.84,23,139.6,6.07,18,28,1.56,5,5,5,7.78,22,121,5.5,16.77,20.2,83.02,10.06,12.96,77.62,19,145,7.63,24,194,8.08,38,56,67.86,29,43,67.44,23,141.9,6.17,"No",2018,10,"766A6D74-181F-4322-B357-D4CDCB2E18B8","TH-PLER0228",9.34,16.9,0.0122333333333333,0.000913333333333333,6.76,0.03,6.77,0.341666666666667,8.10333333333333,96.5666666666667,NA,7.41666666666667,NA,"766A6D74-181F-4322-B357-D4CDCB2E18B8",177,110,0,60,514,0,62,2,68,92,32,1090,12,578
"25",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5061,"RODING","TL5610404058",785759,1,"",2018-10-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781472,"2018-10-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,76,5.07,18,84,4.67,10,20,2,3,3,3,6,15,68,4.53,5,7.8,64.1,1.25,4.67,26.77,15,99,6.6,12,84,7,6,24,25,10,26,38.46,18,83,4.61,"No",2018,10,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",7.25666666666667,17.4666666666667,0.0165,0.00117333333333333,0.897,0.0573333333333333,0.913333333333333,0.276333333333333,7.80666666666667,75.9333333333333,NA,4.94,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",3,119,0,0,16,6,1,0,57,6,24,219,4,17
"26",476,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","PYESTOCK TRIBUTARY",35085,1,"SU",85235,54854,"SU8523554854","GB106039017130",67,1.6,1.581,1,1.9,23.33,17,3,0,80,81.5,NA,NA,NA,"1995-01-01","1990-10-18","2018-09-25",22,FALSE,1,5733,"PYESTOCK TRIBUTARY","SU8523554854",784480,1,"",2018-09-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",783575,"2019-02-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,43,3.58,14,47.2,3.37,7,10,1.43,3,1,3,4.29,13,37,2.85,1.13,7.12,15.87,0.5,4.37,11.44,11,61,5.55,11,61,5.55,2,26,7.69,2,27,7.41,14,50.5,3.61,"No",2018,9,"206285A3-8F94-48B5-90B0-A1229767831D","TH-PLDR0058",NA,NA,NA,NA,NA,NA,NA,NA,7.12,NA,NA,NA,NA,"206285A3-8F94-48B5-90B0-A1229767831D",13,97,1,6,0,0,0,0,258,411,20,810,0,0
"27",580,"THAMES - SOUTH EAST","THAMES","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (NORTH)",35402,1,"SU",80324,44244,"SU8032444244","GB106039017830",73,1.7,13.118,2,7.1,28.33,10,32,40,18,253,NA,NA,NA,"1995-01-01","1995-03-08","2022-09-07",44,FALSE,1,6658,"WEY (NORTH)","SU8032444244",785264,1,"",2018-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",776281,"2018-12-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,126,5.73,24,137.1,5.71,23,49,2.13,5,5,5,10.65,21,106,5.05,23.52,27.69,84.94,10.55,14.42,73.16,21,159,7.57,35,292,8.34,63,88,71.59,29,49,59.18,24,134.5,5.6,"No",2018,10,"5904C1CB-09BA-4F66-A2CA-E55872A51D5E","TH-PWER0115",9.82,19.7,0.0275,0.00111,11.7,0.03,11.7,0.44,8.14,107.6,NA,6.83,NA,"5904C1CB-09BA-4F66-A2CA-E55872A51D5E",172,127,0,100,187,5,662,0,735,186,59,2177,22,849
"28",588,"THAMES - WEST","THAMES","PANG AND SUL","RIVER: Natural/semi-natural flowing fresh watercourse","PANG",35443,1,"SU",59031,72038,"SU5903172038","GB106039023300",55,2,15.2,1,6.7,33.33,2,35,43,20,218,NA,NA,NA,"1995-01-01","1989-03-17","2023-03-20",54,FALSE,1,6814,"PANG","SU5903172038",786336,1,"",2018-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",777458,"2018-11-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",33,196,5.94,37,231.9,6.27,24,44,1.83,5,7,7,12.83,28,149,5.32,18.37,23.88,76.93,12.04,16.18,74.41,32,238,7.44,34,267,7.85,40,64,62.5,37,59,62.71,37,228.1,6.16,"No",2018,10,"508A57BD-737B-474E-89FD-F4938F563071","TH-PPSR0016",9.72666666666667,14.7666666666667,0.0168666666666667,0.000456666666666667,7.31333333333333,0.0306666666666667,7.33,0.0373333333333333,7.75,96.2666666666667,NA,5.61666666666667,NA,"508A57BD-737B-474E-89FD-F4938F563071",4,155,1,20,179,2,186,1,24,43,46,622,18,366
"29",611,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2023-03-20",64,FALSE,1,7101,"KENNET","SU2273169574",786325,1,"",2018-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",775000,"2018-11-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,173,6.18,33,198.3,6.01,32,69,2.16,5,7,7,15.09,26,133,5.12,23.4,27.82,84.11,12.81,15.77,81.23,28,205,7.32,42,331,7.88,57,91,62.64,39,65,60,33,198.3,6.01,"No",2018,10,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",11.115,14.575,0.036875,0.00063,7.5,0.0305,7.54,0.034,7.9125,109.1,NA,3.9675,NA,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",325,785,38,210,575,0,272,0,360,15,79,2630,34,847
"30",648,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",35665,1,"SU",67447,54575,"SU6744754575","GB106039017080",65,3.3,6.92,1,6,40,8,71,15,6,256,NA,NA,NA,"2012-10-04","2002-05-24","2022-09-06",54,FALSE,1,7515,"LODDON","SU6744754575",784691,1,"",2018-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",776087,"2018-11-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",32,181,5.66,39,225.8,5.79,29,52,1.79,5,7,7,12.55,31,167,5.39,22.76,30.23,75.29,13.29,19.14,69.44,32,235,7.34,37,291,7.86,52,78,66.67,42,71,59.15,39,224.2,5.75,"No",2018,9,"90CC1787-EC9D-4378-A46C-F02B24AB7BB8","TH-PLDR0096",11.2,14.2,0.0063,0.00066,5.68,0.03,5.69,0.013,7.95,109.2,NA,4.95,NA,"90CC1787-EC9D-4378-A46C-F02B24AB7BB8",23,2204,2,53,199,1,571,0,612,1745,56,5414,20,770
"31",656,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","ASHRIDGE STREAM",35762,1,"SU",79950,70480,"SU7995070480","GB106039023130",43,3,1.718,1,2.5,26.33,3,27,23,47,210,NA,NA,NA,"1995-01-01","1990-08-28","2018-10-04",25,FALSE,1,7586,"ASHRIDGE STREAM","SU7995070480",785143,1,"",2018-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",783582,"2019-02-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,75,4.41,19,76.3,4.02,16,33,2.06,10,3,10,20.63,15,55,3.67,4.38,10.63,41.2,2.01,6.63,30.32,16,99,6.19,18,116,6.44,10,40,25,9,36,25,19,80.6,4.24,"No",2018,10,"EA61CA0B-8274-4387-9CE1-FB58B6B92A79","TH-PLDR0124",NA,NA,NA,NA,NA,NA,NA,NA,7.86,NA,NA,NA,NA,"EA61CA0B-8274-4387-9CE1-FB58B6B92A79",54,50,2,1,33,0,9,0,7,1074,24,1232,5,42
"32",660,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","WINTERBOURNE",35779,1,"SU",45255,69534,"SU4525569534","GB106039023210",78,2,7.62,1,4.6,28,7,28,52,13,241,NA,NA,NA,"1995-01-01","1990-03-06","2022-10-07",38,FALSE,1,7620,"WINTERBOURNE","SU4525569534",785381,1,"",2018-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",777937,"2018-12-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,135,5.19,27,137.2,5.08,21,35,1.67,5,5,5,8.33,19,94,4.95,12.13,16.54,73.34,7.52,10.68,70.41,24,165,6.88,28,205,7.32,26,48,54.17,25,47,53.19,27,140.6,5.21,"No",2018,10,"4049ABBA-CAB4-404F-8476-BEEFD4B673B3","TH-PKER0089",NA,NA,NA,NA,NA,NA,NA,NA,7.85,NA,NA,NA,NA,"4049ABBA-CAB4-404F-8476-BEEFD4B673B3",36,620,5,15,67,0,57,0,166,53,38,1043,12,124
"33",663,"THAMES - WEST","THAMES","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35783,1,"SU",89550,86492,"SU8955086492","GB106039023880",26,3.3,17.33,3,7,30,6,65,23,6,247,NA,NA,NA,"1995-01-01","1989-10-04","2019-09-06",48,FALSE,1,7692,"WYE (THAMES","SU8955086492",783901,1,"",2018-09-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",781533,"2019-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,89,5.93,16,92.4,5.78,12,22,1.83,5,3,5,9.17,13,67,5.15,18.9,21.35,88.52,11.77,14.19,82.95,14,116,8.29,16,143,8.94,32,46,69.57,28,40,70,16,88.3,5.52,"No",2018,9,"58217BCA-714B-4A4E-9990-CE0B3D900946","TH-PWYR0015",NA,NA,NA,NA,NA,NA,NA,NA,8.26,NA,NA,NA,NA,"58217BCA-714B-4A4E-9990-CE0B3D900946",40,1600,8,1050,117,0,227,0,346,20,22,3408,9,344
"34",666,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","WHITEWATER (LODDON)",35791,1,"SU",72191,51338,"SU7219151338","GB106039017240",80,4,2,1,7.9,37.5,4,66,22,8,218,NA,NA,NA,"2012-10-04","2004-04-27","2022-09-06",39,FALSE,1,7770,"WHITEWATER (LODDON)","SU7219151338",785366,1,"",2018-10-08,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",777137,"2018-12-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,174,6.21,33,202.3,6.13,22,45,2.05,5,7,7,14.32,25,140,5.6,21.51,25.44,84.55,14.04,19.15,73.32,28,209,7.46,28,231,8.25,48,68,70.59,40,61,65.57,33,203.5,6.17,"No",2018,10,"F5E91AAD-7E70-4E22-8E2A-976D229DEC4E","TH-PLDR0046",8.53,11.4,0.0177,0.00018,7.55,0.031,7.57,0.027,7.46,78.2,NA,3.05,NA,"F5E91AAD-7E70-4E22-8E2A-976D229DEC4E",5,1501,2,129,132,1,275,1,295,2602,43,4949,18,408
"35",667,"THAMES - SOUTH EAST","THAMES","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","WHITEWATER (LODDON)",35792,1,"SU",73820,60110,"SU7382060110","GB106039017240",49,0.9,15.238,2,6.6,20.67,3,67,23,7,218,NA,NA,NA,"1995-01-01","1990-04-05","2022-09-02",66,FALSE,1,7818,"WHITEWATER (LODDON)","SU7382060110",785184,1,"",2018-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",774546,"2018-11-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,180,6,32,202.3,6.32,25,49,1.96,5,7,7,13.72,25,128,5.12,19.77,25.53,77.44,11.02,16.85,65.4,30,220,7.33,36,286,7.94,40,66,60.61,33,56,58.93,32,198.9,6.22,"No",2018,10,"4F71A3E9-F273-451F-9B53-7955BD05BD5A","TH-PLDR0048",9.66,16.35,0.00835,0.00087,6.69,0.03,6.7,0.0225,8.235,98.75,NA,8.275,NA,"4F71A3E9-F273-451F-9B53-7955BD05BD5A",37,900,2,317,90,15,156,1,48,2257,48,3824,20,247
"36",677,"THAMES - SOUTH EAST","THAMES","WEY (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WEY (SOUTH)",35812,1,"SU",80820,36690,"SU8082036690","GB106039017720",66,1.4,17.36,3,6.7,51.67,13,48,25,13,82.4,NA,NA,NA,"1995-01-01","1990-03-19","2022-11-08",61,FALSE,1,7996,"WEY (SOUTH)","SU8082036690",785005,1,"",2018-10-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",782950,"2019-02-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,143,5.96,24,145.3,6.05,26,51,1.96,10,5,10,19.62,21,119,5.67,21.4,25.57,83.69,11.51,14.91,77.2,22,170,7.73,31,249,8.03,42,62,67.74,31,47,65.96,24,144.6,6.03,"No",2018,10,"B0475CBD-1970-4942-AE13-A0682226E22E","TH-PWER0027",NA,NA,NA,NA,NA,NA,NA,NA,7.43,NA,NA,NA,NA,"B0475CBD-1970-4942-AE13-A0682226E22E",20,410,1,73,181,1,92,0,29,26,39,834,15,273
