"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Nitrogen, Total Oxidised as N_mg/l","BOD : 5 Day ATU_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","Nitrate as N_mg/l","Nitrite as N_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"18",284,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34090,1,"TQ",4500,83500,"TQ0450083500","GB106039023090",30,1.1,43.13,4,22,35,1,90,4,5,225,NA,NA,NA,"2002-01-01","1983-01-11","2008-11-21",19,FALSE,1,3086,"COLNE","TQ0450083500",348153,1,"",2002-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",341392,"2002-10-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,106,5.05,21,112.2,5.34,NA,NA,NA,NA,NA,NA,NA,15,76,5.07,1,1,100,7.49,11.61,64.51,19,134,7.05,NA,NA,NA,NA,4,0,20,44,45.45,21,111.3,5.3,"No",2002,10,"DECD3D1D-B3E4-4B21-AA36-A2B430DB4604","TH-PCNR0030",0.46,17.095,8.93,0.049,8.03,9.89,2.65,0.0015,92.4,NA,NA,NA,NA,"DECD3D1D-B3E4-4B21-AA36-A2B430DB4604",109,160,0,41,65,2,35,0,90,155,22,672,6,100
"19",298,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34148,1,"TL",11874,18297,"TL1187418297","GB106038033392",98,2.3,11.5,1,3.4,11.33,19,64,8,8,184,NA,NA,NA,"1995-01-01","1979-12-03","2021-05-19",56,FALSE,1,3298,"LEE (THAMES)","TL1187418297",345898,1,"",2002-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local monitoring",339416,"2002-09-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,108,4.5,26,102,3.92,23,30,1.3,3,5,5,6.52,17,62,3.65,8.5,15.09,56.33,5.01,9.41,53.24,23,149,6.48,26,170,6.54,15,57,26.32,18,54,33.33,26,110,4.23,"No",2002,9,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4","TH-PLER0050",0.287,16.96,7.885,0.255,8.145,1.49,3.05,0.0036,81.7,NA,NA,NA,NA,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4",265,2392,6,5,18,4,222,0,220,110,55,3254,10,240
"20",305,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STANSTED BROOK",34162,1,"TL",50500,24000,"TL5050024000","GB106038040090",64,5,8.21,1,3.3,10,21,67,9,3,244,NA,NA,NA,"1995-01-01","1979-10-08","2022-03-16",48,FALSE,1,3409,"STANSTED BROOK","TL5050024000",346020,1,"",2002-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339578,"2002-09-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,49,3.77,13,48.2,3.71,NA,NA,NA,NA,NA,NA,NA,6,20,3.33,NA,NA,NA,NA,2.69,0,11,69,6.27,NA,NA,NA,NA,3,0,5,24,20.83,13,50.6,3.89,"No",2002,9,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD","TH-PLER0137",0.061,12.3,10,0.064,8.2,5.09,1.3,0.0014,94,NA,NA,NA,NA,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD",75,100,0,0,90,0,0,0,200,54,13,519,1,90
"21",306,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STORT",34164,1,"TL",49030,17620,"TL4903017620","GB106038033281",52,1.3,27.4,2,20,116.67,0,18,5,77,260,NA,NA,NA,"1995-01-01","1975-01-06","2019-11-08",40,FALSE,1,3446,"STORT","TL4903017620",346018,1,"",2002-09-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339808,"2002-09-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",32,163,5.09,35,147.6,4.22,NA,NA,NA,NA,NA,NA,NA,27,112,4.15,0.63,0.63,100,2,11.77,16.99,32,184,5.75,NA,NA,NA,NA,3,0,9,64,14.06,35,152.3,4.35,"No",2002,9,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C","TH-PLER0152",2.08,16.6666666666667,8.06,0.0796666666666667,7.8,12.0333333333333,1.13333333333333,0.00151666666666667,83,4.03333333333333,NA,0.0573333333333333,NA,"BB6A07D1-5FA9-424B-9BB2-BE45FD213D6C",46,220,12,14,71,4,30,0,102,329,36,844,7,101
"22",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3497,"MIMRAM","TL2075418006",346025,1,"",2002-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339582,"2002-09-05","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",30,163,5.43,34,178.5,5.25,32,41,1.28,1,7,7,8.97,25,128,5.12,15.51,24.2,64.09,11.29,18.11,62.34,31,215,6.94,34,240,7.06,32,78,41.03,33,73,45.21,34,181.1,5.33,"No",2002,9,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.134333333333333,16.1666666666667,11.1333333333333,0.0353333333333333,7.93333333333333,7.02,1.16666666666667,0.0009,113.333333333333,4.53333333333333,NA,0.0379,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",91,224,4,31,90,0,55,70,221,491,71,1303,22,215
"23",316,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","GT HALLINGBURY BROOK",34190,1,"TL",49800,19100,"TL4980019100","GB106038033330",55,2.9,6.4,1,3.3,27.67,3,46,23,28,261,NA,NA,NA,"1995-01-01","1981-07-20","2020-10-20",31,FALSE,1,3633,"GT HALLINGBURY BROOK","TL4980019100",349873,1,"",2002-11-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",342899,"2002-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,75,4.17,19,74.6,3.93,NA,NA,NA,NA,NA,NA,NA,11,46,4.18,1,1,100,3.01,7.14,42.16,17,107,6.29,NA,NA,NA,NA,4,0,13,40,32.5,19,77.8,4.09,"No",2002,11,"ED5A4422-733B-44FB-865C-8E254B487A79","TH-PLER0039",4.74666666666667,16.5666666666667,8.78333333333333,0.0593333333333333,7.86666666666667,19.8,3.5,0.00123333333333333,90.3333333333333,NA,NA,NA,NA,"ED5A4422-733B-44FB-865C-8E254B487A79",114,130,2,0,30,0,50,0,220,75,19,625,3,80
"24",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3761,"RIB","TL3315413930",346404,1,"",2002-09-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339982,"2002-09-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",32,171,5.34,33,169.8,5.15,NA,NA,NA,NA,NA,NA,NA,20,86,4.3,2.26,2.26,100,9.52,17.33,54.93,30,202,6.73,NA,NA,NA,NA,4,0,32,73,43.84,33,169.8,5.15,"No",2002,9,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.352,16.65,9.22,0.046,8.05,6.51,1.2,0.0014,95,8.95,NA,0.02615,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",130,120,14,54,141,20,134,0,150,230,34,1033,11,275
"25",339,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MIMMSHALL BROOK",34259,1,"TL",23041,3923,"TL2304103923","GB106039029850",77,1.1,8.94,1,3.9,18.33,6,71,14,9,157,NA,NA,NA,"1995-01-01","1984-05-08","2015-03-16",36,FALSE,1,3993,"MIMMSHALL BROOK","TL2304103923",346441,1,"",2002-09-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",340022,"2002-09-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,75,3.95,20,84.3,4.22,NA,NA,NA,NA,NA,NA,NA,14,54,3.86,1.63,1.63,100,6.02,9.43,63.84,17,113,6.65,NA,NA,NA,NA,3,0,16,41,39.02,20,87.6,4.38,"No",2002,9,"C6F84DA4-1258-467D-B603-80DF0574B0A2","TH-PCNR0068",0.0773333333333333,17.0333333333333,13.4666666666667,0.0576666666666667,8,4.30333333333333,6.26666666666667,0.0012,140.1,4.86666666666667,4.27333333333333,0.0327,NA,"C6F84DA4-1258-467D-B603-80DF0574B0A2",180,60,0,5,40,0,22,0,62,126,22,576,3,62
"26",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4196,"MISBOURNE","TQ0130088350",353148,1,"",2002-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",346412,"2003-01-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,137,5.27,28,153.3,5.48,NA,NA,NA,NA,NA,NA,NA,20,96,4.8,1.5,1.5,100,9.04,12.72,71.07,25,182,7.28,NA,NA,NA,NA,3,0,32,59,54.24,28,152.3,5.44,"No",2002,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.0306666666666667,15.27,10.1533333333333,0.0456666666666667,7.61666666666667,5.13333333333333,1.2,0.000566666666666667,101.4,3.4,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",79,365,15,17,217,1,54,0,181,68,28,997,10,271
"27",355,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","PINN",34297,1,"TQ",5809,80966,"TQ0580980966","GB106039023070",30,1.3,19.27,1,4.1,28.33,3,65,13,18,178,NA,NA,NA,"1995-01-01","1982-12-03","2019-11-15",32,FALSE,1,4321,"PINN","TQ0580980966",346882,1,"",2002-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",340466,"2002-09-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,92,4.6,24,107.6,4.48,NA,NA,NA,NA,NA,NA,NA,18,80,4.44,NA,0.37,0,2.51,7.85,31.97,20,124,6.2,NA,NA,NA,NA,3,0,9,40,22.5,24,108.9,4.54,"No",2002,9,"CD86639E-2475-4E5C-BB95-E92B88FD0271","TH-PCNR0075",0.30125,16.025,9.165,0.0665,7.975,3.6125,1.725,0.001575,93,NA,NA,NA,NA,"CD86639E-2475-4E5C-BB95-E92B88FD0271",12,20,0,4,23,13,110,0,24,45,25,285,4,133
"28",358,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","BULBOURNE",34305,1,"TL",2654,6341,"TL0265406341","GB106039029890",87,3.5,8.34,1,4.2,25,14,63,14,8,250,NA,NA,NA,"1995-01-01","1982-09-28","2022-10-13",53,FALSE,1,4390,"BULBOURNE","TL0265406341",350472,1,"",2002-11-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",368522,"2002-12-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,69,4.31,16,60.8,3.8,2,2,1,1,3,3,3,11,47,4.27,1.63,2.37,68.78,2.75,5.68,48.42,14,87,6.21,2,14,7,2,9,22.22,8,32,25,16,67.1,4.19,"No",2002,11,"D663FC0F-45DD-4985-9A6B-41B54349080A","TH-PCNR0047",1.68333333333333,18.53,8.55333333333333,0.205666666666667,7.91,6.96,5.83333333333333,0.0055,91.6,NA,NA,NA,NA,"D663FC0F-45DD-4985-9A6B-41B54349080A",221,115,5,0,4,0,22,0,151,76,17,594,4,26
"29",362,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34309,1,"TQ",500,98600,"TQ0050098600","GB106039029870",79,4.4,7.2,2,8.2,29.33,8,57,23,12,247,NA,NA,NA,"1995-01-01","1982-09-06","2005-11-23",35,FALSE,1,4489,"CHESS","TQ0050098600",350035,1,"",2002-11-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",347487,"2003-02-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",37,200,5.41,38,191.7,5.04,27,36,1.33,5,7,7,9.33,27,138,5.11,13.38,21.46,62.35,10.55,18.62,56.66,36,244,6.78,29,203,7,27,66,40.91,35,81,43.21,38,194.2,5.11,"No",2002,11,"35BE6B3F-9919-4571-8528-CE18CB633C71","TH-PCNR0019",1.07933333333333,16.0666666666667,10.7,0.081,7.86666666666667,7.33,1.66666666666667,0.00176666666666667,109,NA,NA,NA,NA,"35BE6B3F-9919-4571-8528-CE18CB633C71",130,1460,22,50,73,4,91,0,111,81,64,2046,21,164
"30",364,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","CHESS",34311,1,"TQ",6625,94665,"TQ0662594665","GB106039029870",49,2.5,16.9,2,7.8,27.33,8,63,20,9,250,NA,NA,NA,"1995-01-01","1982-08-24","2005-11-23",35,FALSE,1,4556,"CHESS","TQ0662594665",346879,1,"",2002-09-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",354759,"2003-06-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",36,207,5.75,39,215.9,5.54,43,71,1.65,5,10,10,16.51,28,151,5.39,24.53,36.53,67.15,12.56,19.66,63.89,36,256,7.11,49,366,7.47,52,103,50.49,41,79,51.9,39,215.2,5.52,"No",2002,9,"32E43D4C-8F68-45F0-B916-0D57A2F24AEC","TH-PCNR0013",0.684666666666667,17.1,10.4333333333333,0.031,8.2,5.85666666666667,1.23333333333333,0.000933333333333333,108.333333333333,7.33333333333333,NA,0.0392333333333333,NA,"32E43D4C-8F68-45F0-B916-0D57A2F24AEC",140,1010,15,121,183,20,96,0,131,137,55,1884,24,279
"31",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,1,4565,"GADE","TL0412810065",350032,1,"",2002-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",361163,"2003-02-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,108,4.91,22,106.2,4.83,21,28,1.33,3,5,5,6.67,14,66,4.71,11,15.66,70.24,8.54,10.51,81.26,20,144,7.2,23,160,6.96,23,55,41.82,24,45,53.33,22,105.5,4.8,"No",2002,11,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0168",NA,15.09,9.67,0.068,7.46,NA,2.6,0.0005,96.3,10.6,NA,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",114,120,1,11,35,0,40,0,38,53,26,412,8,75
"32",371,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STORT",34322,1,"TL",49306,22346,"TL4930622346","GB106038033340",60,1.3,20.82,1,6.6,12,2,87,8,3,273,NA,NA,NA,"1995-01-01","1980-02-25","2003-11-12",35,FALSE,1,4707,"STORT","TL4930622346",346017,1,"",2002-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",339579,"2002-09-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,105,4.57,26,122.3,4.7,NA,NA,NA,NA,NA,NA,NA,17,72,4.24,2.26,2.26,100,8.03,10.95,73.33,22,149,6.77,NA,NA,NA,NA,4,0,24,50,48,26,121.1,4.66,"No",2002,9,"3D91F3E8-AED0-4BBC-B787-F23F60746634","TH-PLER0145",0.726,11.8,9.29,0.248,7.7,7.09,1,0.0026,86,3.6,NA,0.14,NA,"3D91F3E8-AED0-4BBC-B787-F23F60746634",407,130,8,100,39,0,60,0,210,65,27,1019,6,99
"33",373,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","PINCEY BROOK",34329,1,"TL",48900,12500,"TL4890012500","GB106038033380",47,2,17.8,1,4.2,14.67,19,35,40,6,254,NA,NA,NA,"1995-01-01","1981-08-03","2013-09-09",29,FALSE,1,4715,"PINCEY BROOK","TL4890012500",346619,1,"",2002-09-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",340187,"2002-09-19","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,122,4.88,26,126.5,4.87,NA,NA,NA,NA,NA,NA,NA,17,72,4.24,2.26,2.26,100,8.27,13.15,62.89,23,155,6.74,NA,NA,NA,NA,4,0,24,54,44.44,26,128.3,4.93,"No",2002,9,"A15E69D1-18A0-4D7C-8E23-D93850AC3934","TH-PLER0107",0.92925,14.525,8.44,0.08025,7.85,5.4275,1.5,0.001525,83,12.85,NA,0.030475,NA,"A15E69D1-18A0-4D7C-8E23-D93850AC3934",220,130,0,104,141,20,40,0,370,448,27,1483,7,181
"34",380,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34339,1,"TL",12800,17200,"TL1280017200","GB106038033392",90,1.7,12.74,2,7.3,23.33,9,72,9,10,220,NA,NA,NA,"1995-01-01","1979-12-03","2008-11-13",41,FALSE,1,4800,"LEE (THAMES)","TL1280017200",345896,1,"",2002-09-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",339429,"2002-09-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,114,4.96,28,127.1,4.54,NA,NA,NA,NA,NA,NA,NA,19,78,4.11,0.5,0.5,100,4.26,9.39,45.37,23,142,6.17,NA,NA,NA,NA,3,0,14,44,31.82,28,131.2,4.69,"No",2002,9,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4","TH-PLER0061",4.34,19.425,9.395,0.0425,7.775,21.65,1.5,0.0009,102.45,NA,NA,NA,NA,"6F9F0E95-A73D-4DFC-9524-3B6F728CB2B4",90,132,20,2,211,40,50,0,72,101,29,735,5,261
"35",381,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2021-10-14",62,FALSE,1,4809,"LEE (THAMES)","TL2983509755",346480,1,"",2002-09-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",340078,"2002-09-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,108,5.14,24,128.4,5.35,NA,NA,NA,NA,NA,NA,NA,18,86,4.78,2.13,2.13,100,8.54,11.93,71.58,19,136,7.16,NA,NA,NA,NA,3,0,25,45,55.56,24,126.3,5.26,"No",2002,9,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",1.995,16.67,9.76,0.1055,7.805,12.85,2.65,0.00195,97.8,6.3,12.85,0.02615,NA,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",52,20,0,21,61,10,41,0,106,52,25,373,7,102
"36",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,1,4842,"MIMRAM","TL2788613403",346023,1,"",2002-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Historic Unknown Monitoring",339583,"2002-09-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,145,5.58,28,155.7,5.56,NA,NA,NA,NA,NA,NA,NA,17,85,5,1.63,2,81.5,9.05,11.49,78.76,25,177,7.08,NA,NA,NA,NA,3,0,31,57,54.39,28,159.7,5.7,"No",2002,9,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.076,16.3666666666667,11.0666666666667,0.0366666666666667,7.9,5.91333333333333,1,0.000766666666666667,113.333333333333,3.26666666666667,NA,0.0231,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",70,40,0,10,37,0,61,3,32,41,29,306,12,101
