"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Orthophosphate, reactive as P_mg/l","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","Nitrate as N_mg/l","pH_phunits","Nitrite as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrogen, Total Oxidised as N_mg/l","Ammonia un-ionised as N_mg/l","Oxygen, Dissolved, % Saturation_%","Solids, Suspended at 105 C_mg/l","BOD : 5 Day ATU_mg/l","Phosphorus, Total as P_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"13",261,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34044,1,"TL",14222,1418,"TL1422201418","GB106039029920",60,1.7,27.03,2,6.2,39,3,64,17,16,258,NA,NA,NA,"1995-01-01","1990-04-02","2022-09-17",68,FALSE,1,2784,"VER","TL1422201418",676448,1,"",2013-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663173,"2013-10-18","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,66,5.08,16,98,6.13,7,8,1.14,1,3,3,3.43,13,74,5.69,10.88,12.6,86.35,7.02,9.44,74.36,12,102,8.5,10,90,9,18,24,75,23,31,74.19,16,93.4,5.84,"No",2013,10,"78C22281-DD60-4EE9-B5C5-3481DAF21D79","TH-PCNR0088",0.029,16.6,7.82,4.12,7.88,0.0335,0.03,4.15,0.00068,80.5,NA,NA,NA,"78C22281-DD60-4EE9-B5C5-3481DAF21D79",7,1101,0,200,25,0,27,0,47,41,18,1449,6,52
"14",279,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","COLNE",34081,1,"TL",18163,3619,"TL1816303619","GB106039029820",68,1,7.27,1,3.7,22.67,6,57,17,20,207,NA,NA,NA,"1995-01-01","1982-08-31","2019-05-07",51,FALSE,1,3010,"COLNE","TL1816303619",676456,1,"",2013-10-18,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",659680,"2013-11-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,105,4.38,29,121.1,4.18,22,30,1.36,3,5,5,6.82,21,95,4.52,5.63,14.8,38.04,6,12.54,47.85,24,149,6.21,26,154,5.92,6,60,10,18,59,30.51,29,129.4,4.46,"No",2013,10,"243814DD-38DB-49EA-B1A8-0CE0BB58D768","TH-PCNR0189",0.319,20.8,5.26,0.243,7.66,0.037,0.281,0.28,0.00524,58.9,NA,NA,NA,"243814DD-38DB-49EA-B1A8-0CE0BB58D768",1869,335,0,131,86,0,313,0,432,579,42,3749,9,399
"15",282,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","RAVENSBOURNE",34087,1,"TQ",41410,67270,"TQ4141067270","GB106039023260",57,8.6,3.31,1,1.8,4.67,2,73,15,10,127,NA,NA,NA,"1995-01-01","1985-01-21","2015-10-08",32,FALSE,1,3046,"RAVENSBOURNE","TQ4141067270",671154,1,"",2013-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",665638,"2014-01-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,54,3.86,16,59,3.69,7,8,1.14,1,3,3,3.43,10,41,4.1,2.5,7.26,34.44,1,5.16,19.38,12,69,5.75,12,71,5.92,4,34,11.76,7,33,21.21,16,67.5,4.22,"No",2013,9,"ACBBE281-5E3A-49EE-A1BC-632FC26EDF94","TH-PRVR0029",0.102,18.95,6.895,0.8065,7.81,0.0339,0.104,0.84,0.00238,74.05,NA,NA,NA,"ACBBE281-5E3A-49EE-A1BC-632FC26EDF94",294,44,262,4,4,0,0,0,20,187,21,815,1,4
"16",305,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","STORT","RIVER: Natural/semi-natural flowing fresh watercourse","STANSTED BROOK",34162,1,"TL",50500,24000,"TL5050024000","GB106038040090",64,5,8.21,1,3.3,10,21,67,9,3,244,NA,NA,NA,"1995-01-01","1979-10-08","2022-03-16",48,FALSE,1,3427,"STANSTED BROOK","TL5050024000",677261,1,"",2013-10-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",669152,"2014-02-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",4,12,3,4,12.1,3.03,1,1,1,1,1,1,1,3,9,3,0.5,0.5,100,NA,0.48,0,2,14,7,1,8,8,1,4,25,1,6,16.67,4,12.1,3.03,"No",2013,10,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD","TH-PLER0137",0.056,16.1,8.84,4.09,8.18,0.0148,0.03,4.1,0.00085,90,NA,NA,NA,"015E254C-E9DA-45C9-A97C-AF3E604A7EFD",15,2,0,0,0,0,0,0,3,1,4,21,0,0
"17",309,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34171,1,"TL",20754,18006,"TL2075418006","GB106038033270",74,3.1,7.31,1,4.5,14,19,66,8,7,254,NA,NA,NA,"1995-01-01","1975-01-09","2022-04-14",92,FALSE,1,3526,"MIMRAM","TL2075418006",675039,1,"",2013-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",670705,"2013-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,148,5.92,27,161.5,5.98,26,44,1.69,5,5,5,8.46,21,113,5.38,17.77,21.45,82.84,9.04,11.74,77,24,181,7.54,28,217,7.75,36,62,58.06,31,52,59.62,27,159.2,5.9,"No",2013,10,"CBA0A40E-F999-4046-BCBD-33C83E7552DE","TH-PLER0089",0.116666666666667,12.6,10.7333333333333,7.07333333333333,7.86666666666667,0.0246333333333333,0.0376666666666667,7.1,0.000616666666666667,101.166666666667,5.76666666666667,NA,NA,"CBA0A40E-F999-4046-BCBD-33C83E7552DE",123,1201,16,132,84,0,34,0,21,42,33,1653,14,118
"18",321,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34211,1,"TQ",46600,96900,"TQ4660096900","GB106037028182",22,0.9,48.23,3,8,38.33,8,65,9,18,220,NA,NA,NA,"1995-01-01","1975-01-15","2015-10-29",30,FALSE,1,3755,"RODING","TQ4660096900",672401,1,"",2013-09-23,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",669193,"2014-02-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,123,4.92,28,130.5,4.66,26,39,1.5,5,5,5,7.5,21,97,4.62,3.5,13.17,26.58,3.51,10.57,33.21,25,155,6.2,30,189,6.3,8,60,13.33,11,49,22.45,28,132.2,4.72,"No",2013,9,"A47B9210-D105-41B4-9DA6-4EAA2CF80973","TH-PRGR0027",1.23333333333333,16.4666666666667,7.34666666666667,7.73,7.79,0.0535333333333333,0.0526666666666667,7.78333333333333,0.00092,75.2666666666667,5.54,1.60666666666667,NA,"A47B9210-D105-41B4-9DA6-4EAA2CF80973",32,14,0,34,17,32,11,0,44,209,48,433,9,28
"19",322,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34213,1,"TL",33154,13930,"TL3315413930","GB106038033360",36,1.3,34.31,2,7.7,31.67,10,53,17,20,276,NA,NA,NA,"1995-01-01","1986-10-08","2022-09-26",61,FALSE,1,3784,"RIB","TL3315413930",676852,1,"",2013-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",664542,"2014-01-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,101,5.61,21,117.3,5.59,14,26,1.86,5,5,5,9.29,16,77,4.81,8,11.93,67.06,4.02,7.17,56.07,16,117,7.31,19,143,7.53,14,31,45.16,16,33,48.48,21,118.5,5.64,"No",2013,10,"4480E909-1C89-45BF-819E-2C8E9C93AC81","TH-PLER0123",0.331,16.45,8.65,5.14,8.05,0.02495,0.035,5.16,0.000985,88.4,17.45,NA,NA,"4480E909-1C89-45BF-819E-2C8E9C93AC81",31,25,0,11,15,0,59,0,6,29,28,177,13,74
"20",324,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","RAVENSBOURNE","RIVER: Natural/semi-natural flowing fresh watercourse","QUAGGY",34216,1,"TQ",39400,74800,"TQ3940074800","GB106039023290",15,2,15.97,1,4,12.5,20,55,10,15,199,NA,NA,NA,"2012-01-01","1985-02-04","2019-10-08",34,FALSE,1,3825,"QUAGGY","TQ3940074800",671180,1,"",2013-09-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",666193,"2014-01-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,65,4.33,18,68.5,3.81,15,23,1.53,3,3,3,4.6,13,58,4.46,3,9.47,31.68,1.77,5.93,29.85,16,96,6,20,121,6.05,9,51,17.65,7,35,20,18,74.1,4.12,"No",2013,9,"8F3A4A03-4A15-4694-A615-8F0B02B72A65","TH-PRVR0019",0.621,16.1,7.92333333333333,2.765,8.04666666666667,0.07605,0.0815,2.84,0.00265,80.3333333333333,NA,NA,NA,"8F3A4A03-4A15-4694-A615-8F0B02B72A65",117,154,32,0,15,0,2,0,1,149,29,470,4,17
"21",336,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2021-11-11",37,FALSE,1,3970,"CRANE","TQ1116574665",675006,1,"",2013-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",669168,"2014-02-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,64,4.27,17,64.9,3.82,16,26,1.63,5,3,5,8.13,14,56,4,0.5,7.6,6.58,NA,3.67,0,14,80,5.71,18,105,5.83,2,40,5,1,25,4,17,67.6,3.98,"No",2013,10,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",0.32,19.8,7.7,3.79,8.01,0.0759,0.055,3.87,0.00204,84.6,NA,1,NA,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",84,36,0,0,8,3,1,0,150,192,28,475,3,9
"22",344,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","BROOKHOUSE BROOK",34276,1,"TL",47760,450,"TL4776000450","GB106037028150",40,3.4,3.99,1,2.5,20,1,65,0,34,187,NA,NA,NA,"2012-10-04","1989-07-05","2013-10-16",16,FALSE,1,4070,"BROOKHOUSE BROOK","TL4776000450",676245,1,"",2013-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",665736,"2014-01-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,62,4.43,17,82.6,4.86,NA,NA,NA,NA,NA,NA,NA,12,53,4.42,1.63,1.63,100,3.76,7.6,49.47,13,85,6.54,NA,NA,NA,NA,3,0,18,34,52.94,17,85.5,5.03,"No",2013,10,"A8AB451C-5D71-4B13-9143-F7FEEA215A95","TH-PRGR0087",0.21,14.0666666666667,8.60333333333333,2.14,8.10333333333333,0.0194666666666667,0.03,2.16,0.00074,83.6,16.8333333333333,1.43,NA,"A8AB451C-5D71-4B13-9143-F7FEEA215A95",62,417,0,14,56,0,8,0,67,1873,18,2497,4,64
"23",345,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE",34277,1,"TQ",27885,66886,"TQ2788566886","GB106039023460",24,3,16.5,3,12.2,19.33,8,45,33,13,240,NA,NA,NA,"1995-01-01","1985-02-26","2021-10-15",55,FALSE,1,4086,"WANDLE","TQ2788566886",674749,1,"",2013-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",660296,"2013-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,102,4.86,24,107.5,4.48,20,23,1.15,1,5,5,5.75,16,79,4.94,8.76,15.73,55.69,6.54,10.23,63.93,21,141,6.71,24,159,6.63,21,63,33.33,22,52,42.31,24,112.1,4.67,"No",2013,10,"78A44CB7-DF2D-492F-B06B-C703437C0EBD","TH-PWAR0053",0.06,12.675,10.18,6.3875,8.02,0.026225,0.072,6.4125,0.001595,96.1,4.8125,1.92,NA,"78A44CB7-DF2D-492F-B06B-C703437C0EBD",172,300,112,0,88,0,16,0,112,202,38,1003,12,104
"24",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,1,4226,"MISBOURNE","TQ0130088350",676075,1,"",2013-10-15,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",672286,"2013-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,129,5.86,24,144.3,6.01,22,41,1.86,5,5,5,9.32,20,113,5.65,15.26,18.7,81.6,8.03,11.21,71.63,21,161,7.67,23,188,8.17,32,48,66.67,30,48,62.5,24,143.5,5.98,"No",2013,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",0.033,14.8,8.54,4.02,7.63,0.0305,0.078,4.05,0.00087,84.5,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",60,1007,1,16,52,3,125,0,67,172,30,1513,12,177
"25",357,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (BEDDINGTON ARM)",34302,1,"TQ",29500,65450,"TQ2950065450","GB106039023460",30,3,13.16,1,6.3,18,4,48,33,15,208,NA,NA,NA,"1995-01-01","1985-02-26","2018-10-11",32,FALSE,1,4374,"WANDLE (BEDDINGTON ARM)","TQ2950065450",673076,1,"",2013-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663088,"2013-09-27","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,49,3.5,14,52,3.71,9,12,1.33,1,1,1,1.33,10,45,4.5,3.5,6.68,52.4,1.77,4.69,37.74,12,79,6.58,13,87,6.69,10,33,30.3,8,27,29.63,14,52.2,3.73,"No",2013,9,"2AF9F410-BF31-4AF9-A7CF-0587980B1D14","TH-PWAR0035",NA,15.3666666666667,9.57,NA,7.84666666666667,0.0422333333333333,0.088,NA,0.00168,95.6666666666667,4.86333333333333,NA,NA,"2AF9F410-BF31-4AF9-A7CF-0587980B1D14",136,301,1,0,11,0,6,0,26,107,20,588,3,17
"26",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,1,4593,"GADE","TL0412810065",670999,1,"",2013-09-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",672279,"2013-09-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,102,5.67,22,117.5,5.34,22,41,1.86,5,5,5,9.32,15,87,5.8,11.14,15.19,73.34,5.77,8.44,68.36,19,141,7.42,25,184,7.36,24,53,45.28,25,41,60.98,22,124,5.64,"No",2013,9,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",0.029,15.9,11.5,5.63,7.82,0.05015,0.04,5.68,0.00076,116.65,4.865,1.78,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",453,380,1,4,71,0,10,0,40,336,32,1295,10,81
"27",374,"THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","WANDLE","RIVER: Natural/semi-natural flowing fresh watercourse","WANDLE (CARSHALTON ARM)",34330,1,"TQ",28195,65255,"TQ2819565255","GB106039017640",29,10,1.19,1,5.3,12.67,26,46,20,8,225,NA,NA,NA,"1995-01-01","1985-02-26","2022-04-06",55,FALSE,1,4740,"WANDLE (CARSHALTON ARM)","TQ2819565255",674151,1,"",2013-10-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",667194,"2014-01-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",26,130,5,28,136.8,4.89,25,31,1.24,1,5,5,6.2,17,83,4.88,9.38,15.99,58.66,6.55,10.45,62.68,25,172,6.88,29,199,6.86,26,70,37.14,25,51,49.02,28,139.1,4.97,"No",2013,10,"529480E3-2130-43C7-A5CD-B00A4CE31C06","TH-PWAR0045",0.02,14,11.1,6.66,7.69,0.0171,0.037,6.68,0.00045,107.9,NA,NA,NA,"529480E3-2130-43C7-A5CD-B00A4CE31C06",259,279,13,13,171,0,43,0,105,270,55,1160,13,214
"28",381,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2021-10-14",62,FALSE,1,4821,"LEE (THAMES)","TL2983509755",672157,1,"",2013-09-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",664785,"2013-09-20","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,126,5.73,25,145.4,5.82,NA,NA,NA,NA,NA,NA,NA,16,85,5.31,1.5,1.5,100,10.02,13.4,74.78,22,167,7.59,NA,NA,NA,NA,3,0,28,44,63.64,25,143.3,5.73,"No",2013,9,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",0.487,17.1,9.465,11.95,7.885,0.04985,0.035,12,0.00083,98.35,7.655,1.25,0.54,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",66,54,1,38,100,0,40,0,183,40,25,522,10,140
"29",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,1,4868,"MIMRAM","TL2788613403",675170,1,"",2013-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",670708,"2013-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,100,5.26,22,118.7,5.4,22,42,1.91,5,3,5,9.55,14,84,6,15.76,19.43,81.11,7.02,10.17,69.03,19,140,7.37,28,215,7.68,35,59,59.32,25,41,60.98,22,121.1,5.5,"No",2013,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",0.036,15.6,11.3,5.43,7.76,0.0196,0.03,5.45,0.00048,114.1,NA,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",205,701,7,1,63,0,158,0,115,358,33,1608,14,221
"30",383,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34344,1,"TL",37056,27494,"TL3705627494","GB106038040140",80,2.5,11.59,1,3.7,10,12,77,4,6,272,NA,NA,NA,"1995-01-01","1983-08-09","2021-04-12",41,FALSE,1,4906,"RIB","TL3705627494",677540,1,"",2013-10-24,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",658219,"2013-10-31","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",16,79,4.94,17,82.9,4.88,11,12,1.09,1,3,3,3.27,12,55,4.58,6.63,8.47,78.28,4.76,6.93,68.69,16,111,6.94,14,100,7.14,12,21,57.14,16,27,59.26,17,83.4,4.91,"No",2013,10,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5","TH-PLER0126",1.33,12.1,7.19,14.6,7.23,0.0464,0.032,14.6,0.00012,67,NA,NA,NA,"2DE0D7E4-376C-49EA-A6C0-1C1EA96498F5",5,46,0,37,23,0,5,0,12,43,18,171,5,28
"31",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5051,"RODING","TL5610404058",679270,1,"",2013-11-12,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",663085,"2013-12-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,90,5,21,101.8,4.85,8,11,1.38,1,3,3,4.13,14,68,4.86,3,5.09,58.94,1.75,4.91,35.64,17,115,6.76,11,77,7,4,18,22.22,12,31,38.71,21,105.4,5.02,"No",2013,11,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",0.211,16.8,8.9,3.26,8.04,0.0312,0.0736666666666667,3.31,0.00192666666666667,92.3666666666667,6.7,NA,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",50,109,0,1,8,5,4,0,148,33,21,364,5,12
