"","X.x","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Oxygen, Dissolved, % Saturation_%","Temperature of Water_cel","Oxygen, Dissolved as O2_mg/l","pH_phunits","Ammonia un-ionised as N_mg/l","Ammoniacal Nitrogen as N_mg/l","Nitrate as N_mg/l","Nitrite as N_mg/l","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"11",336,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","CRANE","RIVER: Natural/semi-natural flowing fresh watercourse","CRANE",34254,1,"TQ",11165,74665,"TQ1116574665","GB106039023030",18,2,23.9,1,5.4,21.67,11,74,12,4,184,NA,NA,NA,"1995-01-01","1985-03-27","2021-11-11",37,FALSE,1,3974,"CRANE","TQ1116574665",763569,1,"",2017-11-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",753065,"2018-01-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,98,4.9,24,113.2,4.72,26,43,1.65,5,3,5,8.27,18,79,4.39,9.88,16.85,58.64,4.53,7.7,58.83,20,133,6.65,30,208,6.93,21,61,34.43,15,40,37.5,24,112.2,4.68,"No",2017,11,"1F1B2718-AF0F-4B26-8552-1659AA6483CD","TH-PCRR0020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1F1B2718-AF0F-4B26-8552-1659AA6483CD",52,183,1,0,18,0,81,0,17,225,42,577,12,99
"12",351,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34292,1,"SU",94730,97920,"SU9473097920","GB106039029830",98,2.8,7.78,1,4,25,4,21,15,60,209,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",69,FALSE,2,4173,"MISBOURNE","SU9473097920",760106,1,"",2017-09-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754290,"2018-02-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",11,58,5.27,12,66.7,5.56,7,9,1.29,3,3,3,3.86,11,60,5.45,5,6.96,71.84,4.76,6.21,76.65,9,73,8.11,10,80,8,16,26,61.54,15,22,68.18,12,66.6,5.55,"No",2017,9,"7D79B831-47FD-470E-A5B2-1EADF07F3307","TH-PCNR0422",92.3,18.5,8.63,7.46,0.0003,0.03,1.83,0.0061,0.011,1.84,NA,NA,NA,"7D79B831-47FD-470E-A5B2-1EADF07F3307",28,1065,0,12,10,0,32,0,18,25,15,1190,7,42
"13",351,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34292,1,"SU",94730,97920,"SU9473097920","GB106039029830",98,2.8,7.78,1,4,25,4,21,15,60,209,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",69,FALSE,2,4177,"MISBOURNE","SU9473097920",768397,1,"",2017-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",756488,"2017-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,66,5.5,12,70.5,5.88,6,7,1.17,1,3,3,3.5,10,53,5.3,9.26,11.22,82.53,6.78,8.73,77.66,10,88,8.8,10,88,8.8,17,25,68,19,27,70.37,12,67.4,5.62,"No",2017,10,"7D79B831-47FD-470E-A5B2-1EADF07F3307","TH-PCNR0422",92.3,18.5,8.63,7.46,0.0003,0.03,1.83,0.0061,0.011,1.84,NA,NA,NA,"7D79B831-47FD-470E-A5B2-1EADF07F3307",12,1329,0,2,12,0,427,0,11,8,12,1801,6,439
"14",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,2,4237,"MISBOURNE","TQ0130088350",760200,1,"",2017-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754758,"2018-02-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,78,5.57,14,73.2,5.23,7,12,1.71,5,3,5,8.57,12,60,5,2.5,4.96,50.4,2.25,5.16,43.6,12,85,7.08,11,81,7.36,7,25,28,9,21,42.86,14,71.7,5.12,"No",2017,9,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",85.1,14.6,8.63,7.67,0.00044,0.036,3.28,0.0186,0.018,3.3,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",9,4,0,12,23,8,11,0,12,94,18,174,7,34
"15",352,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",34294,1,"TQ",1300,88350,"TQ0130088350","GB106039029830",49,4.5,21.63,2,3.9,20.67,5,76,10,9,275,NA,NA,NA,"1995-01-01","1982-10-27","2022-04-20",86,FALSE,2,4238,"MISBOURNE","TQ0130088350",767615,1,"",2017-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",755877,"2017-10-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,139,6.04,25,149.2,5.97,14,28,2,5,5,5,10,22,121,5.5,10.5,14.55,72.16,4.02,7.67,52.41,23,167,7.26,22,175,7.95,21,41,51.22,22,41,53.66,25,150.2,6.01,"No",2017,10,"F471B1BA-3764-4ECD-81C9-D292599F8CF3","TH-PCNR0070",85.1,14.6,8.63,7.67,0.00044,0.036,3.28,0.0186,0.018,3.3,NA,NA,NA,"F471B1BA-3764-4ECD-81C9-D292599F8CF3",181,456,2,512,37,0,92,0,251,303,30,1835,11,129
"16",356,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","VER",34298,1,"TL",13830,7452,"TL1383007452","GB106039029920",80,1.3,17.12,1,5.3,21,1,25,37,37,243.5,NA,NA,NA,"2012-10-04","1983-11-08","2022-10-17",51,FALSE,1,4353,"VER","TL1383007452",761145,1,"",2017-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754785,"2017-09-26","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,89,4.68,21,98.6,4.7,11,18,1.64,3,3,3,4.91,22,92,4.18,7.13,12.04,59.22,3.01,7.6,39.61,19,125,6.58,17,122,7.18,13,37,35.14,15,35,42.86,21,98,4.67,"No",2017,9,"44DEFB69-0B49-482C-9133-0D04B1750170","TH-PCNR0412",70.8,16.8,6.72,7.89,NA,NA,NA,NA,NA,NA,NA,0.0524,NA,"44DEFB69-0B49-482C-9133-0D04B1750170",32,364,0,1,72,1,13,0,104,2593,32,3183,6,85
"17",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,2,4605,"GADE","TL0412810065",762270,1,"",2017-10-13,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754712,"2017-10-13","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,79,5.27,17,87,5.12,8,16,2,5,3,5,10,13,58,4.46,6,8.08,74.26,2.26,4.44,50.9,14,98,7,12,90,7.5,13,29,44.83,13,28,46.43,17,92.2,5.42,"No",2017,10,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",71.8,15.4666666666667,7.15,7.41333333333333,0.000313333333333333,0.0446666666666667,3.96666666666667,0.0449666666666667,0.0663333333333333,4.01333333333333,NA,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",35,406,0,3,9,0,6,1,25,15,29,505,8,16
"18",365,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","GADE",34312,1,"TL",4128,10065,"TL0412810065","GB106039029900",97,6,5.51,1,4,23.33,8,54,20,18,257,NA,NA,NA,"1995-01-01","1983-01-06","2022-05-06",78,FALSE,2,4606,"GADE","TL0412810065",768352,1,"",2017-10-10,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",756483,"2017-10-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,72,5.14,16,84.9,5.31,10,30,3,5,3,5,15,13,68,5.23,10.38,10.99,94.45,4.77,5.26,90.68,12,96,8,15,125,8.33,26,34,76.47,20,29,68.97,16,87.3,5.46,"No",2017,10,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275","TH-PCNR0059",71.8,15.4666666666667,7.15,7.41333333333333,0.000313333333333333,0.0446666666666667,3.96666666666667,0.0449666666666667,0.0663333333333333,4.01333333333333,NA,NA,NA,"9E7A03F5-BC32-4D35-A173-C7AC05E6A275",176,2106,0,6,45,0,83,0,35,9,23,2460,10,128
"19",381,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","LEE","RIVER: Natural/semi-natural flowing fresh watercourse","LEE (THAMES)",34340,1,"TL",29835,9755,"TL2983509755","GB106038033392",46,1.1,37.65,3,8.5,31,13,73,11,4,232,NA,NA,NA,"1995-01-01","1975-04-21","2021-10-14",62,FALSE,1,4825,"LEE (THAMES)","TL2983509755",764133,1,"",2017-11-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",755645,"2018-02-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,166,6.15,28,168.3,6.01,26,44,1.69,5,7,7,11.85,24,129,5.38,20.02,25.16,79.57,12.29,16.4,74.94,26,195,7.5,32,249,7.78,45,79,56.96,36,57,63.16,28,171,6.11,"No",2017,11,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0","TH-PLER0076",91.4333333333333,17.8,8.66333333333333,7.87,0.00078,0.0313333333333333,14.2333333333333,0.0307666666666667,0.294666666666667,14.2333333333333,NA,0.358333333333333,NA,"E5030B6D-F176-4C6D-9DA9-5D2E1B5E88A0",46,103,0,268,462,0,216,0,339,696,50,2139,26,678
"20",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,2,4881,"MIMRAM","TL2788613403",762834,1,"",2017-10-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",749383,"2017-11-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",29,167,5.76,35,201.9,5.77,34,57,1.68,5,7,7,11.74,30,155,5.17,22.26,28.02,79.44,10.81,15.94,67.82,29,212,7.31,38,295,7.76,51,79,64.56,35,60,58.33,35,200.8,5.74,"No",2017,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",121.6,16.3,11.9,7.85,0.000625,0.03,4.675,0.0136,0.038,4.685,NA,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",27,1483,0,24,233,5,203,1,33,111,60,2132,25,437
"21",382,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","MIMRAM","RIVER: Natural/semi-natural flowing fresh watercourse","MIMRAM",34343,1,"TL",27886,13403,"TL2788613403","GB106038033270",49,3,18.19,2,9,26.33,2,77,11,10,260,NA,NA,NA,"1995-01-01","1980-01-07","2022-09-14",91,FALSE,2,4883,"MIMRAM","TL2788613403",763676,1,"",2017-10-17,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",749538,"2017-10-17","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",31,179,5.77,36,211.9,5.89,32,57,1.78,5,7,7,12.47,30,150,5,22.77,30.96,73.55,10.79,15.67,68.86,31,222,7.16,39,298,7.64,48,85,56.47,33,63,52.38,36,210.3,5.84,"No",2017,10,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A","TH-PLER0091",121.6,16.3,11.9,7.85,0.000625,0.03,4.675,0.0136,0.038,4.685,NA,NA,NA,"C54C17CC-F201-41DD-AEB7-F2ACBC9B303A",810,2891,274,11,226,1,768,3,88,98,54,5171,22,997
"22",386,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","RIB",34347,1,"TL",35849,17446,"TL3584917446","GB106038033360",49,2,28.33,2,8,15,23,55,11,11,272,NA,NA,NA,"2012-10-04","1979-09-10","2022-05-11",62,FALSE,1,4980,"RIB","TL3584917446",761169,1,"",2017-09-26,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754794,"2018-02-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,95,5.59,18,100.8,5.6,8,12,1.5,3,3,3,4.5,17,89,5.24,5.5,8.08,68.07,7.79,10.45,74.55,16,121,7.56,17,132,7.76,18,30,60,22,33,66.67,18,102.1,5.67,"No",2017,9,"766A6D74-181F-4322-B357-D4CDCB2E18B8","TH-PLER0228",86.1,15.9,8.49,8.1,0.00084,0.03,5.7,0.0073,0.534,5.71,NA,NA,NA,"766A6D74-181F-4322-B357-D4CDCB2E18B8",24,54,0,14,49,0,6,2,21,213,26,388,8,57
"23",387,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RIB","RIVER: Natural/semi-natural flowing fresh watercourse","QUIN",34348,1,"TL",39165,24801,"TL3916524801","GB106038040120",68,2.2,13.9,1,3.8,11,15,75,8,2,268,NA,NA,NA,"1995-01-01","1983-08-09","2021-11-10",41,FALSE,1,5009,"QUIN","TL3916524801",761075,1,"",2017-09-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754300,"2018-02-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,155,5.54,34,187.8,5.52,19,39,2.05,5,7,7,14.37,27,135,5,14.87,19.77,75.21,8.54,12.66,67.46,28,195,6.96,31,232,7.48,40,65,61.54,31,58,53.45,34,189.7,5.58,"No",2017,9,"A0CFA4B5-08E1-4829-A318-29513651F8CE","TH-PLER0118",89.8,17.05,8.645,7.905,0.00121,0.049,8.365,0.0613,0.0395,8.425,NA,NA,NA,"A0CFA4B5-08E1-4829-A318-29513651F8CE",41,639,0,34,214,0,52,8,882,233,50,2167,18,274
"24",390,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","RODING","RIVER: Natural/semi-natural flowing fresh watercourse","RODING",34352,1,"TL",56104,4058,"TL5610404058","GB106037033500",41,1.3,28.73,1,4,18.33,3,52,18,27,250,NA,NA,NA,"1995-01-01","1979-08-06","2022-09-07",56,FALSE,1,5059,"RODING","TL5610404058",761195,1,"",2017-09-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754166,"2018-02-01","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",18,92,5.11,20,97,4.85,14,28,2,3,3,3,6,18,87,4.83,6,11.15,53.81,3,7.16,41.9,17,116,6.82,17,120,7.06,8,31,25.81,14,35,40,20,95.3,4.77,"No",2017,9,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7","TH-PRGR0028",81.1,16.475,7.9075,7.7575,0.00061,0.03525,4.25,0.03015,0.25425,4.285,NA,NA,NA,"BDCA7815-CF98-411C-9D3C-AA12F6AD78A7",14,285,0,0,13,28,21,0,125,48,27,535,6,34
"25",394,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34359,1,"TL",42420,16910,"TL4242016910","GB106038033290",48,2.1,18.73,1,5,12.33,12,73,8,6,274,NA,NA,NA,"1995-01-01","1979-09-10","2022-05-10",81,FALSE,1,5153,"ASH (LEE)","TL4242016910",760091,1,"",2017-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754774,"2018-02-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",25,130,5.2,29,147.2,5.08,20,32,1.6,5,5,5,8,24,112,4.67,13,18.87,68.89,7.24,11.38,63.62,24,170,7.08,28,203,7.25,26,58,44.83,24,55,43.64,29,147.7,5.09,"No",2017,9,"28D8226A-41AF-4878-8775-63B0DB8BBD87","TH-PLER0004",79.2,14.1,8.12,7.74,0.0009,0.066,6.1,0.0472,0.035,6.15,NA,NA,NA,"28D8226A-41AF-4878-8775-63B0DB8BBD87",145,591,3,11,16,0,146,61,110,39,41,1122,9,223
"26",395,"THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","ASH (LEE)","RIVER: Natural/semi-natural flowing fresh watercourse","ASH (LEE)",34360,1,"TL",37700,13300,"TL3770013300","GB106038033290",33,1.7,27.39,1,5,26,7,76,11,5,273,NA,NA,NA,"1995-01-01","1979-09-10","2022-11-23",78,FALSE,1,5202,"ASH (LEE)","TL3770013300",760100,1,"",2017-09-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",754291,"2018-02-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",23,135,5.87,25,146.7,5.87,14,26,1.86,3,5,5,9.29,18,97,5.39,11.13,14.57,76.39,9,12.41,72.52,23,167,7.26,24,183,7.63,28,48,58.33,25,42,59.52,25,143.7,5.75,"No",2017,9,"F60FA473-DB5A-48B0-BC34-B44B92851ADC","TH-PLER0005",76.35,14.25,7.81,7.81,0.00061,0.038,6.435,0.029,0.4365,6.465,NA,NA,NA,"F60FA473-DB5A-48B0-BC34-B44B92851ADC",16,46,0,14,29,2,47,31,51,50,34,286,14,107
"27",430,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","LAMBOURN",34649,1,"SU",48847,67344,"SU4884767344","GB106039023220",74,1.3,25.3,5,7,47,2,68,18,12,237,NA,NA,NA,"1995-01-01","1995-04-04","2017-10-04",20,FALSE,1,5440,"LAMBOURN","SU4884767344",762789,1,"",2017-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",756326,"2017-10-04","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",27,161,5.96,30,193,6.43,27,58,2.15,5,7,7,15.04,24,137,5.71,27.9,31.83,87.65,14.55,18.21,79.9,26,202,7.77,34,291,8.56,59,76,77.63,39,59,66.1,30,188,6.27,"No",2017,10,"C4DB7529-F37F-4BFC-856A-09022C0D2A36","TH-PKER0058",105.5,14.7,10.7,7.97,0.00072,0.03,7.08,0.0197,0.027,7.1,NA,NA,NA,"C4DB7529-F37F-4BFC-856A-09022C0D2A36",59,15602,103,189,472,0,531,1,38,232,44,17228,21,1004
"28",449,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","PENWOOD STREAM",34756,1,"SU",44852,63330,"SU4485263330","GB106039017210",93,6,5.6,1,2.9,18.8,11,67,13,9,56,NA,NA,NA,"2012-10-04","1993-11-01","2017-10-04",9,FALSE,1,5553,"PENWOOD STREAM","SU4485263330",762788,1,"",2017-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",756269,"2018-03-23","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,170,6.07,30,185.6,6.19,30,50,1.67,3,7,7,11.67,26,143,5.5,24.02,27.33,87.89,12.52,16.17,77.43,27,200,7.41,35,267,7.63,49,75,65.33,34,52,65.38,30,188,6.27,"No",2017,10,"FE610353-0043-4552-B28E-F7759D04382E","TH-PKER0120",80.4,13.9,8.28,7.46,0.00045,0.063,0.464,0.0065,0.055,0.47,NA,NA,NA,"FE610353-0043-4552-B28E-F7759D04382E",13,402,2,97,146,1,28,17,223,114,50,1043,22,191
"29",603,"THAMES - WEST","THAMES","WINDRUSH","RIVER: Natural/semi-natural flowing fresh watercourse","DIKLER",35478,1,"SP",18023,19756,"SP1802319756","GB106039030470",124,2.9,10.27,2,6.8,30,10,43,33,13,180,NA,NA,NA,"1995-01-01","1989-10-31","2020-09-23",38,FALSE,1,6972,"DIKLER","SP1802319756",763467,1,"",2017-11-06,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",756328,"2017-11-06","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",36,215,5.97,39,227.9,5.84,39,73,1.87,5,10,10,18.72,32,159,4.97,19.76,29.53,66.92,11.52,18.59,61.97,35,237,6.77,48,353,7.35,43,92,46.74,38,78,48.72,39,228.4,5.86,"No",2017,11,"39864231-E9B9-48F7-8525-915DC0F36E3D","TH-PWRR0005",103.25,17.5,9.835,8.15,0.00095,0.03,6.475,0.0133,0.291,6.485,NA,NA,NA,"39864231-E9B9-48F7-8525-915DC0F36E3D",60,657,3,804,235,6,428,3,155,675,62,3040,24,666
"30",611,"THAMES - WEST","THAMES","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2023-03-20",64,FALSE,1,7098,"KENNET","SU2273169574",762039,1,"",2017-10-04,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",752651,"2018-01-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",31,186,6,34,208.3,6.13,27,48,1.78,5,7,7,12.44,26,146,5.62,23.52,26.21,89.74,15.32,17.3,88.55,30,227,7.57,32,257,8.03,48,69,69.57,43,62,69.35,34,205.2,6.04,"No",2017,10,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",90.4,12.2,9.68,7.925,0.00057,0.03,7.74,0.0374,0.029,7.78,NA,NA,NA,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",53,3004,10,301,383,0,196,1,30,53,46,4032,22,580
