"","X.x","AGENCY_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY.x","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG.x","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV","SAMPLES_PER_SITE","X.y","WATER_BODY.y","NGR_10_FIG.y","SAMPLE_ID","SAMPLE_VERSION","REPLICATE_CODE","SAMPLE_DATE","SAMPLE_TYPE_DESCRIPTION","SAMPLE_METHOD_DESCRIPTION","SAMPLE_REASON","ANALYSIS_ID","DATE_OF_ANALYSIS","ANALYSIS_TYPE_DESCRIPTION","ANALYSIS_METHOD_DESCRIPTION","BMWP_N_TAXA","BMWP_TOTAL","BMWP_ASPT","WHPT_N_TAXA","WHPT_TOTAL","WHPT_ASPT","CCI_N_TAXA","CCI_CS_TOTAL","CCI_ASPT","CSmax_CoS","BMWP_CoS","CCI_CoS","CCI","DEHLI_N_TAXA","DIS_TOTAL","DEHLI","EPSI_ML_S_GRP","EPSI_ML_ALL_GRP","EPSI_MIXED_LEVEL_SCORE","EPSI_S_GRP","EPSI_ALL_GRP","EPSI_FAMILY_SCORE","LIFE_N_TAXA","LIFE_SCORES_TOTAL","LIFE_FAMILY_INDEX","LIFE_SPECIES_N_TAXA","LIFE_SPECIES_SCORES_TOTAL","LIFE_SPECIES_INDEX","PSI_ML_AB","PSI_ML_ABCD","PSI_MIXED_LEVEL_SCORE","PSI_AB","PSI_ABCD","PSI_FAMILY_SCORE","WHPT_NW_N_TAXA","WHPT_NW_TOTAL","WHPT_NW_ASPT","IS_THIRD_PARTY_DATA","SAMPLE_DATE_YEAR","SAMPLE_DATE_MONTH","identifier.x","sample.samplingPoint.notation","Ammoniacal Nitrogen as N_mg/l","pH_phunits","Oxygen, Dissolved, % Saturation_%","Oxygen, Dissolved as O2_mg/l","Temperature of Water_cel","Nitrate as N_mg/l","Ammonia un-ionised as N_mg/l","Nitrite as N_mg/l","Orthophosphate, reactive as P_mg/l","Nitrogen, Total Oxidised as N_mg/l","Solids, Suspended at 105 C_mg/l","Phosphorus, Total as P_mg/l","Chlorophyll : Acetone Extract_ug/l","BOD : 5 Day ATU_mg/l","identifier.y","annelid","crustacean","flatworm (Turbellaria)","insect - beetle (Coleoptera)","insect - caddis fly (Trichoptera)","insect - dragonfly (Odonata)","insect - mayfly (Ephemeroptera)","insect - stonefly (Plecoptera)","insect - true fly (Diptera)","mollusc","macro_richness","total_abundance","ept_richness","ept_abundance"
"39",722,"THAMES - WEST","EVENLODE","RIVER: Natural/semi-natural flowing fresh watercourse","GLYME",35455,1,"SP",43930,19580,"SP4393019580","GB106039030010",84,2,11.47,1,6.3,38.33,20,28,22,30,230,NA,NA,NA,"1995-01-01","1989-10-12","2015-09-22",28,FALSE,1,7719,"GLYME","SP4393019580",725680,1,"",2015-09-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",714324,"2015-09-25","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,136,6.18,26,170.6,6.56,9,13,1.44,3,5,5,7.22,22,122,5.55,11.37,13.7,82.99,8.52,10.94,77.88,22,166,7.55,25,195,7.8,28,40,70,29,39,74.36,26,167.4,6.44,"No",2015,9,"3BFF705A-EC9C-4A4D-A299-6DC4926BF917","TH-PEVR0019",0.03,8.03,82.8,8.96,11.7,4.88,0.00062,0.0101,0.021,4.89,NA,NA,NA,NA,"3BFF705A-EC9C-4A4D-A299-6DC4926BF917",40,503,0,636,63,0,49,51,96,66,37,1506,16,163
"40",729,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","COVE BROOK",35465,1,"SU",86203,58108,"SU8620358108","GB106039017130",61,1.5,5.462,1,5.3,37.67,5,8,8,78,79.3,NA,NA,NA,"1995-01-01","1990-03-08","2018-09-25",27,FALSE,1,7788,"COVE BROOK","SU8620358108",724315,1,"",2015-09-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",717273,"2015-11-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,87,4.58,19,83.1,4.37,10,16,1.6,3,3,3,4.8,17,77,4.53,5,11.01,45.41,3.01,8.82,34.13,17,110,6.47,16,106,6.63,14,42,33.33,12,40,30,19,87.6,4.61,"No",2015,9,"0AE6D5CE-D174-4634-BDBD-441510E65105","TH-PLDR0013",0.0816666666666667,7.48,69.4333333333333,6.92333333333333,15.6,1.005,0.000786666666666667,0.0289,0.0323333333333333,1.03666666666667,NA,NA,NA,NA,"0AE6D5CE-D174-4634-BDBD-441510E65105",54,501,0,3,3,4,40,0,271,190,30,1082,4,43
"41",737,"THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","SWERE",35481,1,"SP",46117,33234,"SP4611733234","GB106039037220",88,2,20.24,2,5.1,23.33,37,40,8,15,189,NA,NA,NA,"1995-01-01","1989-10-25","2019-10-10",31,FALSE,1,7878,"SWERE","SP4611733234",731739,1,"",2015-11-25,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",719939,"2015-12-03","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,72,6,14,80.2,5.73,7,12,1.71,3,3,3,5.14,11,56,5.09,4,5.59,71.56,2.25,3.73,60.32,11,83,7.55,11,81,7.36,8,22,36.36,13,22,59.09,14,82.1,5.86,"No",2015,11,"EB89A1A5-8A7E-4B32-9780-DE00D1189391","TH-PCHR0048",0.0326666666666667,7.99333333333333,68.1666666666667,6.72666666666667,16,4.37,0.000883333333333333,0.0165666666666667,0.250666666666667,4.38666666666667,NA,NA,NA,NA,"EB89A1A5-8A7E-4B32-9780-DE00D1189391",12,125,0,15,11,0,36,2,22,0,20,223,10,49
"42",742,"THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","KENNET",35491,1,"SU",22731,69574,"SU2273169574","GB106039023173",118,1.5,31.5,3,11.7,30,10,72,12,7,253,NA,NA,NA,"1995-01-01","1990-05-15","2021-09-24",61,FALSE,1,7962,"KENNET","SU2273169574",724938,1,"",2015-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",722264,"2016-01-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",28,166,5.93,31,180.4,5.82,28,54,1.93,5,7,7,13.5,21,113,5.38,20.27,22.83,88.79,13.04,15.48,84.24,27,201,7.44,34,265,7.79,42,61,68.85,39,59,66.1,31,180.2,5.81,"No",2015,9,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3","TH-PKER0052",NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E9D36644-ED20-45A7-8FC1-4034F0AF51B3",67,252,8,202,128,0,172,17,301,7,46,1170,21,317
"43",778,"THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","HOOK NORTON BROOK",35660,1,"SP",38666,33047,"SP3866633047","GB106039037210",135,4,6,1,1.5,16.67,8,55,17,20,120,NA,NA,NA,"1995-01-01","1990-10-15","2018-11-26",23,FALSE,1,8331,"HOOK NORTON BROOK","SP3866633047",724689,1,"",2015-09-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",719955,"2015-10-08","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,83,6.92,16,101.4,6.34,10,18,1.8,5,3,5,9,14,80,5.71,5,6.84,73.1,2.48,5.42,45.76,13,95,7.31,14,106,7.57,9,17,52.94,10,19,52.63,16,103.7,6.48,"No",2015,9,"D5909F72-D2D7-411C-A0E2-E709EC11FBC7","TH-PCHR0070",NA,7.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D5909F72-D2D7-411C-A0E2-E709EC11FBC7",0,10,0,9,4,4,11,1,2,6,18,48,6,16
"44",786,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","ASHRIDGE STREAM",35762,1,"SU",79950,70480,"SU7995070480","GB106039023130",43,3,1.718,1,2.5,26.33,3,27,23,47,210,NA,NA,NA,"1995-01-01","1990-08-28","2018-10-04",25,FALSE,1,8442,"ASHRIDGE STREAM","SU7995070480",726609,1,"",2015-10-05,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",716063,"2015-10-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,80,4.21,23,90.9,3.95,16,28,1.75,5,3,5,8.75,17,71,4.18,5.5,11.73,46.89,2,6.9,28.99,19,115,6.05,22,141,6.41,9,49,18.37,9,43,20.93,23,95.9,4.17,"No",2015,10,"EA61CA0B-8274-4387-9CE1-FB58B6B92A79","TH-PLDR0124",0.038,7.94333333333333,63.1,5.95,18.1,19.0333333333333,0.00119,0.0750666666666667,1.22,19.1,NA,NA,NA,NA,"EA61CA0B-8274-4387-9CE1-FB58B6B92A79",58,407,5,12,72,0,17,0,41,562,35,1177,4,89
"45",787,"THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","SALFORDS STREAM",35763,1,"TQ",30900,47600,"TQ3090047600","GB106039017560",62,2.5,3.88,1,3,32.5,21,45,0,34,204,NA,NA,NA,"2012-10-04","2013-05-08","2015-10-27",4,FALSE,1,8448,"SALFORDS STREAM","TQ3090047600",729136,1,"",2015-10-27,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",722113,"2016-01-21","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",8,27,3.38,9,30.8,3.42,4,4,1,1,1,1,1,10,44,4.4,2.63,4.97,52.92,1.25,2.94,42.52,6,39,6.5,6,42,7,5,15,33.33,5,17,29.41,9,33.4,3.71,"No",2015,10,"5208B588-8D0D-4FC8-82C1-9CD3AC9D5F93","TH-PMLR0058",0.2285,7.67,68.8,7.08,14.2,0.9045,0.00277,0.05695,0.0565,0.96,NA,NA,NA,NA,"5208B588-8D0D-4FC8-82C1-9CD3AC9D5F93",10,40,0,0,0,0,1,0,35,71,13,157,1,1
"46",790,"THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","WINTERBOURNE",35779,1,"SU",45255,69534,"SU4525569534","GB106039023210",78,2,7.62,1,4.6,28,7,28,52,13,241,NA,NA,NA,"1995-01-01","1990-03-06","2021-05-10",35,FALSE,1,8471,"WINTERBOURNE","SU4525569534",724472,1,"",2015-09-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","Local Investigative monitoring",732090,"2015-09-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",19,103,5.42,22,122.6,5.57,22,34,1.55,5,5,5,7.73,16,93,5.81,11.38,17.38,65.48,5.53,11.1,49.82,18,132,7.33,24,181,7.54,25,50,50,23,45,51.11,22,123.1,5.6,"No",2015,9,"4049ABBA-CAB4-404F-8476-BEEFD4B673B3","TH-PKER0089",0.03,7.87666666666667,87.6,9.42,12,8.18,0.00042,0.0163,0.027,8.2,NA,NA,NA,NA,"4049ABBA-CAB4-404F-8476-BEEFD4B673B3",14,5001,0,4,49,0,34,0,72,419,31,5601,10,83
"47",793,"THAMES - WEST","WYE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","WYE (THAMES",35783,1,"SU",89550,86492,"SU8955086492","GB106039023880",26,3.3,17.33,3,7,30,6,65,23,6,247,NA,NA,NA,"1995-01-01","1989-10-04","2019-09-06",48,FALSE,1,8541,"WYE (THAMES","SU8955086492",728857,1,"",2015-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",721439,"2016-01-11","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",17,99,5.82,19,114,6,18,35,1.94,5,3,5,9.72,14,83,5.93,17.4,19.85,87.66,10.78,13.21,81.6,16,130,8.13,20,167,8.35,39,62,62.9,28,42,66.67,19,111.5,5.87,"No",2015,10,"58217BCA-714B-4A4E-9990-CE0B3D900946","TH-PWYR0015",0.03,8.2,86.2,8.84,14.1,7.15,0.00074,0.0124,0.188,7.16,NA,NA,NA,NA,"58217BCA-714B-4A4E-9990-CE0B3D900946",307,2001,10,1250,84,0,217,0,11,58,33,3939,14,301
"48",831,"THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","THAMES (W AREA)",35876,1,"SU",1814,94776,"SU0181494776","GB106039023760",88,1.4,6.75,3,3.6,23.5,0,73,15,13,217,NA,NA,NA,"1995-01-01","1995-05-09","2021-10-07",51,FALSE,1,9118,"THAMES (W AREA)","SU0181494776",726988,1,"",2015-10-07,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",719628,"2015-12-09","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,52,4.33,12,53.1,4.43,7,8,1.14,1,3,3,3.43,7,41,5.86,2,5.67,35.27,2.03,5.88,34.52,10,65,6.5,12,83,6.92,7,23,30.43,6,20,30,12,53.6,4.47,"No",2015,10,"BC3AB3DF-CC9B-4429-803B-4F859B2EE2AC","TH-PUTR0104",0.03,7.6,54.3,5.63,13.6,0.196,0.00029,0.004,0.018,0.2,NA,NA,NA,NA,"BC3AB3DF-CC9B-4429-803B-4F859B2EE2AC",12,0,0,13,4,0,0,0,50,191,15,274,2,4
"49",848,"THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","THAME",35911,1,"SP",79666,15281,"SP7966615281","GB106039030370",73,0.8,22.05,2,5.3,71.67,3,24,10,63,220,NA,NA,NA,"1995-01-01","1990-03-14","2021-04-28",52,FALSE,1,9341,"THAME","SP7966615281",728584,1,"",2015-10-19,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",720575,"2015-12-16","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",21,115,5.48,23,119.8,5.21,20,40,2,5,5,5,10,16,66,4.13,8.87,13.63,65.08,4.26,9.88,43.12,21,138,6.57,23,161,7,15,47,31.91,18,44,40.91,23,122.5,5.33,"No",2015,10,"B05567EE-0110-4B7E-ACA3-BC2278D023BC","TH-PTAR0028",0.03,7.92,93.2,9.8,13,0.979,0.00057,0.0115,0.2,0.99,NA,NA,NA,NA,"B05567EE-0110-4B7E-ACA3-BC2278D023BC",3,363,0,43,21,15,50,0,507,46,36,1079,11,71
"50",862,"THAMES - WEST","COLE","RIVER: Natural/semi-natural flowing fresh watercourse","SOUTH MARSTON BROOK",35941,1,"SU",19814,87939,"SU1981487939","GB106039022910",93,3.8,2.2,1,1.3,10,11,31,42,17,211,NA,NA,NA,"1995-01-01","1990-03-19","2015-10-14",23,FALSE,1,9506,"SOUTH MARSTON BROOK","SU1981487939",728298,1,"",2015-10-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",715871,"2015-10-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",15,76,5.07,15,77,5.13,12,28,2.33,5,3,5,11.67,14,63,4.5,4.5,8.92,50.45,2.02,4.92,41.06,13,86,6.62,16,109,6.81,11,30,36.67,10,25,40,15,75.1,5.01,"No",2015,10,"8A473A78-2CCE-4D76-A98E-93274B1C200B","TH-PUTR0135",0.03,8.02333333333333,68.3,6.6,16.9,1.45,9e-04,0.0105,0.187,1.46,NA,NA,NA,NA,"8A473A78-2CCE-4D76-A98E-93274B1C200B",21,156,0,107,20,0,2,0,44,158,21,509,8,22
"51",864,"THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","SALFORDS STREAM",35943,1,"TQ",26600,46620,"TQ2660046620","GB106039017540",49,1.6,10.497,2,4.2,25,5,28,52,15,204,NA,NA,NA,"1995-01-01","1990-03-29","2015-10-20",32,FALSE,1,9530,"SALFORDS STREAM","TQ2660046620",728677,1,"",2015-10-20,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",721760,"2016-01-14","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",12,71,5.92,14,78.6,5.61,5,12,2.4,5,3,5,12,10,54,5.4,4,4.37,91.53,2.76,4.47,61.74,11,82,7.45,8,64,8,9,16,56.25,12,20,60,14,79.6,5.69,"No",2015,10,"3B887B00-EA6E-4B65-8B9B-7181215A505A","TH-PMLR0042",0.032,8.03666666666667,80.7333333333333,7.99666666666667,15.7666666666667,4.71333333333333,0.000846666666666667,0.0173333333333333,0.759333333333333,4.73,NA,NA,NA,NA,"3B887B00-EA6E-4B65-8B9B-7181215A505A",50,105,0,0,12,8,54,0,22,2,20,254,8,66
"52",866,"THAMES - WEST","THAME","RIVER: Natural/semi-natural flowing fresh watercourse","SCOTSGROVE BROOK",35948,1,"SP",70835,7077,"SP7083507077","GB106039030220",69,0.8,20.01,1,4.7,108.33,1,18,18,63,252,NA,NA,NA,"1995-01-01","1989-09-13","2015-10-22",27,FALSE,1,9551,"SCOTSGROVE BROOK","SP7083507077",731462,1,"",2015-10-22,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",719635,"2015-12-07","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,65,5,15,70.8,4.72,9,29,3.22,10,3,10,32.22,11,49,4.45,2.5,4.59,54.47,2,4.91,40.73,12,82,6.83,13,94,7.23,8,24,33.33,8,21,38.1,15,72.9,4.86,"No",2015,10,"43DEBCFB-C66F-495D-9448-FE3C5F00FF6F","TH-PTAR0033",0.0716666666666667,7.71666666666667,62.9666666666667,6.21,15.9333333333333,12.9666666666667,0.00113333333333333,0.0628333333333333,1.20666666666667,13.0666666666667,NA,NA,NA,NA,"43DEBCFB-C66F-495D-9448-FE3C5F00FF6F",80,66,0,4,3,1,37,0,153,19,20,363,4,40
"53",876,"THAMES - WEST","KENNET","RIVER: Natural/semi-natural flowing fresh watercourse","OG",35965,1,"SU",19475,69594,"SU1947569594","GB106039023180",125,2,10.26,1,7.3,25,13,58,20,8,242,NA,NA,NA,"1995-01-01","1989-03-23","2019-10-17",46,FALSE,1,9637,"OG","SU1947569594",724969,1,"",2015-09-14,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",720927,"2015-12-15","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",22,118,5.36,25,142.9,5.72,22,44,2,5,5,5,10,18,93,5.17,15.5,17.71,87.52,8.53,10.5,81.24,21,156,7.43,25,202,8.08,33,48,68.75,26,44,59.09,25,141.3,5.65,"No",2015,9,"AD660973-0F34-4ECD-953B-9E6FA637620F","TH-PKER0074",0.03,7.5,84.9,8.22,16.8,8.06,0.00029,0.0084,0.019,8.07,NA,NA,NA,NA,"AD660973-0F34-4ECD-953B-9E6FA637620F",4,163,3,276,55,0,8,31,66,46,32,660,10,94
"54",881,"THAMES - WEST","THAMES SOURCE TO TEDDINGTON (W SECTION)","RIVER: Natural/semi-natural flowing fresh watercourse","NORTHFIELD BROOK",35976,1,"SP",53388,1886,"SP5338801886","GB106039030180",57,1,6.72,1,5.3,53.33,0,36,40,23,246,NA,NA,NA,"1995-01-01","1990-04-19","2018-11-14",30,FALSE,1,9716,"NORTHFIELD BROOK","SP5338801886",724861,1,"",2015-09-11,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",714168,"2015-09-22","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",14,54,3.86,18,64.9,3.61,7,13,1.86,3,3,3,5.57,12,53,4.42,3,6.31,47.54,3.25,7.15,45.45,13,81,6.23,13,84,6.46,9,36,25,9,35,25.71,18,75.7,4.21,"No",2015,9,"01F9D74B-8996-41A9-BD43-2163E246494F","TH-PTHR0048",NA,NA,NA,NA,NA,17.25,NA,0.202,NA,17.45,NA,NA,NA,NA,"01F9D74B-8996-41A9-BD43-2163E246494F",260,846,2,1,5,0,45,0,1086,53,23,2302,4,50
"55",890,"THAMES - SOUTH EAST","MOLE","RIVER: Natural/semi-natural flowing fresh watercourse","MOLE (THAMES)",35991,1,"TQ",26950,43360,"TQ2695043360","GB106039017621",53,1.3,15.608,3,6.5,26.67,8,38,45,8,93.8,NA,NA,NA,"1995-01-01","1990-01-09","2018-10-01",33,FALSE,1,9807,"MOLE (THAMES)","TQ2695043360",729168,1,"",2015-10-16,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",716478,"2015-10-28","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",10,47,4.7,12,52.8,4.4,5,7,1.4,1,1,1,1.4,8,36,4.5,1,3.09,32.36,NA,2.21,0,9,59,6.56,8,52,6.5,2,17,11.76,4,18,22.22,12,54.7,4.56,"No",2015,10,"85FC8B6B-EB1F-48E5-9C00-3DB5FE5570F2","TH-PMLR0018",0.072,7.41,73.4,7.53,14.1,15.7,0.00046,0.0293,0.184,15.7,NA,NA,NA,NA,"85FC8B6B-EB1F-48E5-9C00-3DB5FE5570F2",152,24,0,1,6,6,0,0,100,4,15,293,1,6
"56",907,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",36031,1,"SU",71580,64750,"SU7158064750","GB106039017330",46,0.8,26.711,4,9.3,73.33,3,33,33,30,226,NA,NA,NA,"1995-01-01","1990-11-27","2019-09-26",41,FALSE,1,10100,"LODDON","SU7158064750",727205,1,"",2015-10-09,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",720268,"2015-12-10","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",20,125,6.25,21,134,6.38,16,35,2.19,5,5,5,10.94,19,109,5.74,15.51,19.19,80.82,11.29,15.42,73.22,20,162,8.1,23,188,8.17,32,50,64,31,45,68.89,21,130.8,6.23,"No",2015,10,"7425322F-91D8-4631-A13B-7792CCDF9DA3","TH-PLDR0028",0.03,8.17,80.1,7.72,17,9.31,0.00091,0.0179,0.18,9.33,NA,NA,NA,NA,"7425322F-91D8-4631-A13B-7792CCDF9DA3",26,365,0,154,35,5,201,0,142,39,34,967,12,236
"57",909,"THAMES - SOUTH EAST","LODDON","RIVER: Natural/semi-natural flowing fresh watercourse","LODDON",36034,1,"SU",68681,55289,"SU6868155289","GB106039017080",61,2.7,9.3,1,7.7,47,6,68,20,6,247,NA,NA,NA,"1995-01-01","1995-03-13","2020-10-14",60,FALSE,1,10153,"LODDON","SU6868155289",726798,1,"",2015-10-02,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National investigative monitoring",722047,"2015-10-02","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",24,150,6.25,25,144.7,5.79,20,39,1.95,5,5,5,9.75,18,107,5.94,18.02,22.32,80.73,11.27,15.86,71.06,23,175,7.61,28,230,8.21,45,67,67.16,32,52,61.54,25,146.3,5.85,"No",2015,10,"07509599-DF51-4438-923C-ECD5C5BB82C9","TH-PLDR0073",0.056,7.815,85.7,8.485,15.6,15.9,0.001,0.02615,0.215,15.9,NA,NA,NA,NA,"07509599-DF51-4438-923C-ECD5C5BB82C9",158,3071,13,558,59,3,371,0,845,2938,35,8017,16,430
"58",919,"THAMES - WEST","CHERWELL AND RAY (OXON)","RIVER: Natural/semi-natural flowing fresh watercourse","LANGFORD BROOK",36063,1,"SP",58784,21534,"SP5878421534","GB106039030160",66,0.8,7.73,1,2.4,31.67,0,2,2,97,207,NA,NA,NA,"1995-01-01","1990-05-02","2015-11-03",29,FALSE,1,10288,"LANGFORD BROOK","SP5878421534",729411,1,"",2015-11-03,"FRESHWATER: INVERTEBRATE All macroinvertebrate samples","3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001","National Monitoring",717773,"2015-11-12","LABORATORY PRIMARY: Analysed in laboratory by primary analyst","LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001)",13,53,4.08,13,51.9,3.99,8,8,1,1,3,3,3,10,45,4.5,1.5,6.03,24.88,0.5,3.41,14.66,11,69,6.27,11,69,6.27,3,24,12.5,4,19,21.05,13,52.4,4.03,"No",2015,11,"893A91E8-36DD-4B39-A95A-FE85862FC983","TH-PCHR0031",0.07,8.02,81.5,7.96,16.4,2.52,0.00204,0.0779,0.083,2.6,NA,NA,NA,NA,"893A91E8-36DD-4B39-A95A-FE85862FC983",26,41,0,1,4,0,0,0,28,89,22,197,2,4
