"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"2988","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158896,1,"TQ",15715,20868,"TQ1571520868",515715,120868,"GB107041012170",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2989","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158897,1,"TQ",15552,20960,"TQ1555220960",515552,120960,"GB107041012170",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2990","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158898,1,"TQ",15473,20996,"TQ1547320996",515473,120996,"GB107041012170",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2991","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158899,1,"TQ",15213,21118,"TQ1521321118",515213,121118,"GB107041012290",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2992","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158900,1,"TQ",15176,21315,"TQ1517621315",515176,121315,"GB107041012290",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2993","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158901,1,"TQ",15154,21488,"TQ1515421488",515154,121488,"GB107041012290",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2994","SOUTHERN - SOLENT & S. DOWNS","SOLENT AND SOUTH DOWNS","ADUR EAST","RIVER: Natural/semi-natural flowing fresh watercourse","ADUR WEST",158902,1,"TQ",15122,21677,"TQ1512221677",515122,121677,"GB107041012290",,,,,,,,,,,,,,,,2010-11-17,2010-11-17,1,FALSE
"2995","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",158983,1,"SU",91563,99164,"SU9156399164",491563,199164,"GB106039029830",,,,,,,,,,,,,,,,2011-06-13,2011-10-11,2,FALSE
"2996","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",158984,1,"SU",91684,99157,"SU9168499157",491684,199157,"GB106039029830",,,,,,,,,,,,,,,,2011-06-13,2011-11-10,2,FALSE
"2997","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",158985,1,"SU",91805,99140,"SU9180599140",491805,199140,"GB106039029830",,,,,,,,,,,,,,,,2011-06-13,2011-11-10,2,FALSE
"2998","THAMES - NORTH EAST","HERTFORDSHIRE AND NORTH LONDON","COLNE (THAMES)","RIVER: Natural/semi-natural flowing fresh watercourse","MISBOURNE",158986,1,"SU",91939,99119,"SU9193999119",491939,199119,"GB106039029830",,,,,,,,,,,,,,,,2011-06-13,2011-06-13,1,FALSE
