"","AGENCY_AREA","REPORTING_AREA","CATCHMENT","WATERBODY_TYPE_DESCRIPTION","WATER_BODY","SITE_ID","SITE_VERSION","NGR_PREFIX","EASTING","NORTHING","NGR_10_FIG","FULL_EASTING","FULL_NORTHING","WFD_WATERBODY_ID","ALTITUDE","SLOPE","DIST_FROM_SOURCE","DISCHARGE","WIDTH","DEPTH","BOULDERS_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","BASE_DATA_DATE","MIN_SAMPLE_DATE","MAX_SAMPLE_DATE","COUNT_OF_SAMPLES","ECN_SITE_INV"
"3105","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","EDEN (KENT)","RIVER: Natural/semi-natural flowing fresh watercourse","GIBBS BROOK",161401,1,"TQ",35746,50901,"TQ3574650901",535746,150901,"GB106040018640",,,,,,,,,,,,,,,,2013-04-02,2014-09-04,5,FALSE
"3106","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","GREEN LANES STREAM",161408,1,"TQ",20981,61951,"TQ2098161951",520981,161951,"GB106039017440",,,,,,,,,,,,,,,,2013-03-27,2013-11-19,2,FALSE
"3107","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","GREEN LANES STREAM",161409,1,"TQ",21089,62216,"TQ2108962216",521089,162216,"GB106039017440",,,,,,,,,,,,,,,,2013-03-27,2013-11-19,2,FALSE
"3108","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL",161410,1,"TQ",21135,63543,"TQ2113563543",521135,163543,"GB106039017440",,,,,,,,,,,,,,,,2013-03-27,2013-11-19,2,FALSE
"3109","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL",161411,1,"TQ",20933,63669,"TQ2093363669",520933,163669,"GB106039017440",,,,,,,,,,,,,,,,2013-03-27,2013-11-19,2,FALSE
"3110","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","HOGSMILL","RIVER: Natural/semi-natural flowing fresh watercourse","HOGSMILL",161412,1,"TQ",21517,63321,"TQ2151763321",521517,163321,"GB106039017440",,,,,,,,,,,,,,,,2013-03-27,2013-11-19,2,FALSE
"3111","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","CRAY",161413,1,"TQ",47511,70839,"TQ4751170839",547511,170839,"GB106040023990",,,,,,,,,,,,,,,,2013-03-01,2013-10-24,2,FALSE
"3112","THAMES - SOUTH EAST","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","CRAY",161414,1,"TQ",47472,71042,"TQ4747271042",547472,171042,"GB106040023990",,,,,,,,,,,,,,,,2013-03-01,2013-10-24,2,FALSE
"3113","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","GREAT STOUR","RIVER: Natural/semi-natural flowing fresh watercourse","DOUR",161419,1,"TR",31124,42475,"TR3112442475",631124,142475,"GB107040019510",,,,,,,,,,,,,,,,2013-07-10,2013-07-10,1,FALSE
"3114","SOUTHERN - KENT & E. SUSSEX","KENT SOUTH LONDON AND EAST SUSSEX","DARENT","RIVER: Natural/semi-natural flowing fresh watercourse","DARENT",161420,2,"TQ",53395,65562,"TQ5339565562",553395,165562,"GB106040024222",,,,,,,,,,,,,,,,1967-05-22,2013-10-24,2,FALSE
