"","Site","RCP","Variable","Differences","Estimate","LandUse"
"428","Caver","rcp26","flow",-0.499841953405001,"upper","agri_P"
"429","Egham","rcp26","flow",-0.8282008064516,"upper","agri_P"
"430","Egham","rcp45","flow",-1.16450512544807,"upper","agri_P"
"431","Crick","rcp26","temp",3.62980525089603,"upper","agri_P"
"432","Crick","rcp45","temp",5.98059878136203,"upper","agri_P"
"433","Ox","rcp26","temp",3.62980525089603,"upper","agri_P"
"434","Ox","rcp45","temp",5.98059878136203,"upper","agri_P"
"435","Lon","rcp26","temp",3.62980525089603,"upper","agri_P"
"436","Lon","rcp45","temp",5.98059878136203,"upper","agri_P"
"437","Caver","rcp26","temp",3.62980525089603,"upper","agri_P"
"438","Caver","rcp45","temp",5.98059878136203,"upper","agri_P"
"439","Egham","rcp26","temp",3.62980525089603,"upper","agri_P"
"440","Egham","rcp45","temp",5.98059878136203,"upper","agri_P"
"441","Crick","rcp26","P",-0.25935844516129,"upper","agri_P"
"442","Crick","rcp45","P",-0.254569991146954,"upper","agri_P"
"443","Ox","rcp26","P",-0.112039167992831,"upper","agri_P"
"444","Ox","rcp45","P",-0.110602876129032,"upper","agri_P"
"445","Lon","rcp26","P",-0.269538276774194,"upper","agri_P"
"446","Lon","rcp45","P",-0.264595165268817,"upper","agri_P"
"447","Caver","rcp26","P",-0.156587030448028,"upper","agri_P"
"448","Caver","rcp45","P",-0.153802462258064,"upper","agri_P"
"449","Egham","rcp26","P",-0.199194491899641,"upper","agri_P"
"450","Egham","rcp45","P",-0.194936295232975,"upper","agri_P"
"451","Crick","rcp26","DO",-0.0497945967741966,"upper","agri_P"
"452","Crick","rcp45","DO",-0.258270935483853,"upper","agri_P"
"453","Ox","rcp26","DO",0.14206343548387,"upper","agri_P"
"454","Ox","rcp45","DO",-0.0278180071684601,"upper","agri_P"
"455","Lon","rcp26","DO",0.28353980286738,"upper","agri_P"
"456","Lon","rcp45","DO",0.101026612903224,"upper","agri_P"
"457","Caver","rcp26","DO",0.187821908602151,"upper","agri_P"
"458","Caver","rcp45","DO",-0.0163198530465832,"upper","agri_P"
"459","Egham","rcp26","DO",0.310717003584231,"upper","agri_P"
"460","Egham","rcp45","DO",0.19899866666667,"upper","agri_P"
"461","Crick","rcp26","Ni",0.5328408781362,"upper","agri_P"
"462","Crick","rcp45","Ni",0.4648679390681,"upper","agri_P"
"463","Ox","rcp26","Ni",0.261874435483867,"upper","agri_P"
"464","Ox","rcp45","Ni",0.139860290322577,"upper","agri_P"
"465","Lon","rcp26","Ni",0.219171308243726,"upper","agri_P"
"466","Lon","rcp45","Ni",0.148903455197133,"upper","agri_P"
"467","Caver","rcp26","Ni",0.163838525089607,"upper","agri_P"
"468","Caver","rcp45","Ni",0.0438028064516098,"upper","agri_P"
"469","Egham","rcp26","Ni",0.170209370967743,"upper","agri_P"
"470","Egham","rcp45","Ni",0.0728317526881736,"upper","agri_P"
"471","Crick","rcp26","Am",-0.0003958171684588,"upper","agri_P"
"472","Crick","rcp45","Am",-0.00197671501792117,"upper","agri_P"
"473","Ox","rcp26","Am",-0.000176842956989266,"upper","agri_P"
"474","Ox","rcp45","Am",-0.00128185311827957,"upper","agri_P"
"475","Lon","rcp26","Am",0.0177168074193547,"upper","agri_P"
"476","Lon","rcp45","Am",0.0196840977060928,"upper","agri_P"
"477","Caver","rcp26","Am",-0.00116456177419353,"upper","agri_P"
"478","Caver","rcp45","Am",-0.00319849752688173,"upper","agri_P"
"479","Egham","rcp26","Am",0.00228972322580646,"upper","agri_P"
"480","Egham","rcp45","Am",0.0014005871684588,"upper","agri_P"
"481","Crick","rcp26","flow",-1.34112669498208,"lower","agri_P"
"482","Crick","rcp45","flow",-1.4986372125448,"lower","agri_P"
"483","Ox","rcp26","flow",-5.06083604480285,"lower","agri_P"
"484","Ox","rcp45","flow",-5.6813428924731,"lower","agri_P"
"485","Lon","rcp26","flow",-23.5661891039426,"lower","agri_P"
"486","Lon","rcp45","flow",-26.5357801433691,"lower","agri_P"
"487","Caver","rcp45","flow",-12.3311778566308,"lower","agri_P"
"488","Caver","rcp26","flow",-10.9765395824372,"lower","agri_P"
"489","Egham","rcp26","flow",-19.3502455734767,"lower","agri_P"
"490","Egham","rcp45","flow",-21.800963655914,"lower","agri_P"
"491","Crick","rcp26","temp",0.282828862007167,"lower","agri_P"
"492","Crick","rcp45","temp",1.20355605734767,"lower","agri_P"
"493","Ox","rcp26","temp",0.282828862007167,"lower","agri_P"
"494","Ox","rcp45","temp",1.20355605734767,"lower","agri_P"
"495","Lon","rcp26","temp",0.282828862007167,"lower","agri_P"
"496","Lon","rcp45","temp",1.20355605734767,"lower","agri_P"
"497","Caver","rcp26","temp",0.282828862007167,"lower","agri_P"
"498","Caver","rcp45","temp",1.20355605734767,"lower","agri_P"
"499","Egham","rcp26","temp",0.282828862007167,"lower","agri_P"
"500","Egham","rcp45","temp",1.20355605734767,"lower","agri_P"
"501","Crick","rcp26","P",-0.283601188207885,"lower","agri_P"
"502","Crick","rcp45","P",-0.283518213763441,"lower","agri_P"
"503","Ox","rcp26","P",-0.119997239247312,"lower","agri_P"
"504","Ox","rcp45","P",-0.120089908781362,"lower","agri_P"
"505","Lon","rcp26","P",-0.293300943888888,"lower","agri_P"
"506","Lon","rcp45","P",-0.292850296487455,"lower","agri_P"
"507","Caver","rcp26","P",-0.170341595250895,"lower","agri_P"
"508","Caver","rcp45","P",-0.170279207921146,"lower","agri_P"
"509","Egham","rcp26","P",-0.219135354014337,"lower","agri_P"
"510","Egham","rcp45","P",-0.218795770107527,"lower","agri_P"
"511","Crick","rcp26","DO",-0.758377517921126,"lower","agri_P"
"512","Crick","rcp45","DO",-1.21789948028672,"lower","agri_P"
"513","Ox","rcp26","DO",-0.536489161290323,"lower","agri_P"
"514","Ox","rcp45","DO",-0.949737663082436,"lower","agri_P"
"515","Lon","rcp26","DO",-0.390248921146953,"lower","agri_P"
"516","Lon","rcp45","DO",-0.819842824372759,"lower","agri_P"
"517","Caver","rcp26","DO",-0.5549080985663,"lower","agri_P"
"518","Caver","rcp45","DO",-1.02162862365591,"lower","agri_P"
"519","Egham","rcp26","DO",-0.265411578853046,"lower","agri_P"
"520","Egham","rcp45","DO",-0.587985992831544,"lower","agri_P"
"521","Crick","rcp26","Ni",0.115030415770607,"lower","agri_P"
"522","Crick","rcp45","Ni",-0.141440193548386,"lower","agri_P"
"523","Ox","rcp26","Ni",-0.287934249103943,"lower","agri_P"
"524","Ox","rcp45","Ni",-0.639556996415773,"lower","agri_P"
"525","Lon","rcp26","Ni",-0.183869784946233,"lower","agri_P"
"526","Lon","rcp45","Ni",-0.436105956989246,"lower","agri_P"
"527","Caver","rcp26","Ni",-0.345927390681004,"lower","agri_P"
"528","Caver","rcp45","Ni",-0.70335534767025,"lower","agri_P"
"529","Egham","rcp26","Ni",-0.28089756451613,"lower","agri_P"
"530","Egham","rcp45","Ni",-0.582773028673833,"lower","agri_P"
"531","Crick","rcp26","Am",-0.0088722219892473,"lower","agri_P"
"532","Crick","rcp45","Am",-0.0118306985663082,"lower","agri_P"
"533","Ox","rcp26","Am",-0.00560440845878137,"lower","agri_P"
"534","Ox","rcp45","Am",-0.00793867541218643,"lower","agri_P"
"535","Lon","rcp26","Am",-0.00422109417562723,"lower","agri_P"
"536","Lon","rcp45","Am",-0.00622119211469513,"lower","agri_P"
"537","Caver","rcp26","Am",-0.008737287562724,"lower","agri_P"
"538","Caver","rcp45","Am",-0.0129512888172043,"lower","agri_P"
"539","Egham","rcp26","Am",-0.00568563189964157,"lower","agri_P"
"540","Egham","rcp45","Am",-0.00865034896057347,"lower","agri_P"
