"","Site","RCP","Variable","Differences","Estimate","LandUse"
"99","Egham","rcp26","DO",-0.0212625232974896,"upper","no_land"
"100","Egham","rcp45","DO",-0.188443390681007,"upper","no_land"
"101","Crick","rcp26","Ni",0.124311351254483,"upper","no_land"
"102","Crick","rcp45","Ni",0.067204609318997,"upper","no_land"
"103","Ox","rcp26","Ni",-0.0120177114695335,"upper","no_land"
"104","Ox","rcp45","Ni",-0.121148422939067,"upper","no_land"
"105","Lon","rcp26","Ni",0.0955483530465967,"upper","no_land"
"106","Lon","rcp45","Ni",0.0326335663082435,"upper","no_land"
"107","Caver","rcp26","Ni",-0.0107589354838732,"upper","no_land"
"108","Caver","rcp45","Ni",-0.121603913978493,"upper","no_land"
"109","Egham","rcp26","Ni",0.0328981648745534,"upper","no_land"
"110","Egham","rcp45","Ni",-0.0567719426523266,"upper","no_land"
"111","Crick","rcp26","Am",-0.000393304068100333,"upper","no_land"
"112","Crick","rcp45","Am",-0.00197478369175626,"upper","no_land"
"113","Ox","rcp26","Am",-0.000175464767025133,"upper","no_land"
"114","Ox","rcp45","Am",-0.0012815650179212,"upper","no_land"
"115","Lon","rcp26","Am",0.0177179370788532,"upper","no_land"
"116","Lon","rcp45","Am",0.0196839834767022,"upper","no_land"
"117","Caver","rcp26","Am",-0.00116456421146957,"upper","no_land"
"118","Caver","rcp45","Am",-0.00319863971326167,"upper","no_land"
"119","Egham","rcp26","Am",0.0022903171863799,"upper","no_land"
"120","Egham","rcp45","Am",0.0014003617921147,"upper","no_land"
"121","Crick","rcp26","flow",-1.3409823718638,"lower","no_land"
"122","Crick","rcp45","flow",-1.49850713297491,"lower","no_land"
"123","Ox","rcp26","flow",-5.06061520250894,"lower","no_land"
"124","Ox","rcp45","flow",-5.68113025448027,"lower","no_land"
"125","Lon","rcp26","flow",-23.5656125268817,"lower","no_land"
"126","Lon","rcp45","flow",-26.5352188888889,"lower","no_land"
"127","Caver","rcp45","flow",-12.3305659211469,"lower","no_land"
"128","Caver","rcp26","flow",-10.976023516129,"lower","no_land"
"129","Egham","rcp26","flow",-19.349812688172,"lower","no_land"
