"","median_aspt","median_total","median_rich","lower_aspt","lower_total","lower_rich","upper_aspt","upper_total","upper_rich","upper_stone","upper_worm","lower_stone","lower_worm","median_stone","median_worm","median_flat","median_dipt","median_dragon","median_may","median_trich","median_life","median_dehli","median_ept_rich","median_ept_abun","upper_flat","upper_dipt","upper_dragon","upper_may","upper_trich","upper_life","upper_dehli","upper_ept_rich","upper_ept_abun","lower_flat","lower_dipt","lower_dragon","lower_may","lower_trich","lower_life","lower_dehli","lower_ept_rich","lower_ept_abun","scenario"
"1",-0.0407928389366043,-0.242117061730724,0.0717117746287421,-0.0181283689346632,-2.34271822050412,-0.127001657108693,-0.0762399313636548,1.98949125823803,0.326715056780824,-0.0156076886583889,63.6929292358725,0.0107666585587691,-1.55879093523291,-0.00340365004973282,24.4265110850365,0.587717861542898,6.6539154471086,5.07667982972429,6.90469881085528,0.43554448777354,-0.0733174325615238,-0.0695521907658492,-0.0237479397235527,2.82176566486692,1.40459997846125,16.6361136234743,15.6103156962781,36.4382147807841,1.07765796336395,2.72770894119427,-0.146742728600359,-0.00211265314533371,8.15715128252111,0.243165981635632,0.549975992122583,-0.229725083326551,-15.8855796819844,0.0243133861197329,-2.66142958273313,-0.0163549872385884,-0.047612619499068,-0.871416166301103,"Crick.rcp26.no_land"
"11",-0.0375287086989537,-0.0667076213563575,0.0916026935685927,-0.0264835927684786,-2.70911468424922,-0.23022532239947,-0.059850473371629,2.7825472819829,0.487753872447747,-0.0149135212878887,51.072547515152,0.0115583926213012,-0.581394616107247,-0.00279614124414421,20.0395982505576,0.503510896302405,6.13581233691945,4.74584544550794,5.6471492569346,0.439420867515834,0.0142665377810687,-0.0670613883523172,-0.0185198251109697,2.73176391185098,1.16142875660529,14.5381242175965,15.5730159889904,42.1720118738658,1.19483111219583,3.43783315899928,-0.131939084533086,0.0318731557711673,8.95359309768933,0.223426565435361,1.03310017965711,-0.70319376700612,-22.5001813826879,-0.0627377207124491,-3.13127330764915,-0.0246968941313757,-0.067271634179769,-1.68247419049025,"Ox.rcp26.no_land"
"12",-0.0628838601132848,-1.79170779736255,-0.201910716275702,-0.0649220597151059,-5.64374119223683,-0.695723428841564,-0.0768813104393731,1.92581228052805,0.316064036034177,-0.0155176021574531,62.7708986638846,0.00787668612715908,4.2972714294786,-0.00444883367063086,27.2686366166922,0.608495553325284,7.89107360376219,3.31296203492822,-15.1389117118636,0.359598246344236,-1.93123649916089,-0.0927190290911408,-0.0773901763316702,1.34901304759781,1.38240719929133,16.5576887270544,15.3871030833148,35.253828898264,1.07385552515223,2.6350375338335,-0.147416438238901,-0.00439426018384226,8.07578163261027,0.28780499649631,2.91709789084243,-2.81531591099747,-57.4455902388875,-0.120137962441396,-6.60849077482666,-0.0654220193144832,-0.157896536302089,-3.71393850495171,"Lon.rcp26.no_land"
"13",-0.0555204952151476,-1.02034604625953,-0.117402868051023,-0.0533121016721179,-4.31692761525358,-0.555634119962608,-0.0717412122823449,2.35069645910673,0.368029782266014,-0.0157681176162773,60.1524888837834,0.00654566037221652,4.56572463350454,-0.00509036334824538,26.2591876742163,0.538962253571231,7.58276681903885,3.77384518202976,-8.19807028653133,0.366661159395202,-1.06721118362137,-0.0861988263581113,-0.0580994793047345,1.74393209956889,1.28445360960986,16.1172130886749,15.5298560727184,38.1436737988158,1.09533815499414,3.06446674265304,-0.143231320236281,0.00803855960802302,8.31558395633505,0.221222830394606,2.6432952070061,-2.13420660992201,-45.6447457754008,-0.123936159059707,-5.06469890382377,-0.0546142199912198,-0.127150222192258,-3.08037956439119,"Egham.rcp26.no_land"
"14",-0.0461312121729467,-0.749044714372644,-0.00857647758688174,-0.0378919809954974,-3.78412632436829,-0.369699983300173,-0.0664256864319821,2.41024585044676,0.419701784792821,-0.0147994707118258,55.0690529681191,0.012130141472564,-0.00251260834394884,-0.00255738857975139,21.9964786373577,0.553158690904117,6.65244482920713,4.22670538810747,-1.97744064481708,0.407419827656729,-0.755541814350806,-0.0752274259328827,-0.0397808452700283,2.18900612057418,1.2471070189501,15.2629283787874,15.4299961901336,38.8876724081629,1.141538228108,3.07195110148351,-0.137718804754067,0.0171372824859137,8.53098644285012,0.265421603761382,1.44564535842827,-1.39968629129692,-34.1431792496394,-0.0794739232001014,-4.39253482582716,-0.0358640367030612,-0.096649279358866,-2.36573450054891,"Caver.rcp26.no_land"
"15",-0.0718697264257759,0.00689773880877453,0.22950207385324,-0.0374923732657706,-2.89872566663868,-0.0636045007206505,-0.113400931047137,3.45404025078228,0.657813012180188,-0.0213519190773709,99.9699091807422,0.0137043146218942,5.29339040419379,-0.00627124955414423,45.149640816521,1.40623739660884,13.1960804583219,11.795309618314,17.5810685208984,0.95001671776984,0.320129373840871,-0.129546096129347,-0.0282260940033554,6.16834378848873,3.14469917483086,28.3612605885791,33.0443343776722,63.7219667181358,2.00057210427209,4.53511724011459,-0.229375010895348,0.0172779519051558,14.6189945502687,0.626462505144159,3.28504623177263,2.03364981191331,-15.2632384092215,0.28121841175656,-3.2677094107147,-0.0498814785602741,-0.0607598170933468,0.459427881354024,"Crick.rcp45.no_land"
"16",-0.068285242668999,0.189454240881375,0.246329729944605,-0.0483242318642221,-3.39546312921286,-0.19685538420978,-0.0949749805665734,4.37001046617344,0.840810531533631,-0.0206156979066867,83.7931246194493,0.0154987257551394,6.50950090622047,-0.005195995321125,38.7352498388871,1.2314184316832,12.4440865284841,11.1161503274318,15.0841631393316,0.941572926127925,0.371930567148127,-0.126827994202415,-0.0234217651328164,5.91848590243717,2.64563167908211,25.5224297600865,32.9243618116749,70.6525242494004,2.14099071600096,5.35343316240579,-0.212732879937559,0.0558537602909746,15.5527389787475,0.599222634052306,3.93754342774906,1.34560332610708,-23.6467675260829,0.1537973443342,-3.89750507877412,-0.0603126572519379,-0.0864147022804973,-0.671433981104968,"Ox.rcp45.no_land"
"17",-0.106049422609172,-2.40832373660385,-0.193996395863508,-0.0941238960842332,-6.9893022629545,-0.750607151680182,-0.114744431346683,3.3276160600503,0.637990720589826,-0.021226518584623,98.868674986968,0.0109283067223339,12.398261837008,-0.00761080000199651,50.1709054992869,1.47348065805834,15.4039849384017,8.2897057832229,-16.7752084561381,0.820856137451539,-2.56473383107382,-0.165175541205309,-0.110439400667077,3.76485905759876,3.10931887908785,28.2932189736845,32.5391734723781,61.5688692129854,1.99230878665962,4.36770161726213,-0.230698396677129,0.0130116741124424,14.4627741438279,0.721305882199168,6.29825090006268,-1.49454457009276,-64.9049426789955,0.0974757818155974,-8.14321613150958,-0.108695587819522,-0.193307809647885,-3.07454717423481,"Lon.rcp45.no_land"
"18",-0.0949718801117783,-1.19675192650068,-0.0654414392726608,-0.0797563225390361,-5.21390180606275,-0.5774623647353,-0.108745446157039,3.93925167044395,0.700260233165526,-0.0217270527943095,96.1277633479832,0.00870593216757458,13.2088729239406,-0.00861743749172808,48.9044690188082,1.30559976213004,14.9247196388888,9.23326015425669,-5.81288119275467,0.826716869124029,-1.20121431034342,-0.155401888545541,-0.0813673307382812,4.39148209476931,2.87169717309032,27.8051946245539,32.909788158749,66.0223192978559,2.00968610973372,5.000986501228,-0.226113549724566,0.0287295278557942,14.7705611518505,0.589788980491283,6.02603335935223,-0.528183113274478,-50.1248655244327,0.0808247659184689,-6.0845933645161,-0.0956564200294805,-0.154919382080572,-2.3001852415497,"Egham.rcp45.no_land"
"19",-0.0808912272589941,-0.852869539119951,0.0982136605461079,-0.0623021218910917,-4.77827420923018,-0.367431606869431,-0.103010159845822,3.85181370118363,0.755506381309068,-0.0203067848308683,88.7946880177957,0.0170837158297987,6.97659943671604,-0.00465889660115339,41.5758730322547,1.35093097872566,13.2639496841888,10.0900104103453,3.36567348174157,0.892466249919825,-0.805627781895552,-0.138658194028183,-0.0548452268431832,5.06602448742193,2.84374547492583,26.50703493117,32.5662458593117,65.7748953114869,2.0702246029682,4.83154779086919,-0.21961445731335,0.0369727650881648,14.959425382064,0.681414318054285,4.43222712023133,0.374126472858951,-37.8950970379457,0.128191241385655,-5.51424785699699,-0.0735601684282496,-0.122686995868809,-1.5675784262518,"Caver.rcp45.no_land"
